id.exposure,id.outcome,outcome,exposure,egger_intercept,se,pval
0perSf,J10_PNEUMOBACT,Bacterial pneumoniae,g_Roseburia,0.0136968976257488,0.0106651264762811,0.218529436262032
0uansG,J10_PNEUMOBACT,Bacterial pneumoniae,g_Butyrivibrio,0.00884752854196711,0.0132129633327189,0.513999380432235
19r4CB,J10_PNEUMOBACT,Bacterial pneumoniae,p_Firmicutes,-0.00581687222201186,0.010067032419097,0.571432701374455
2v0Q66,J10_PNEUMOBACT,Bacterial pneumoniae,g_Anaerostipes,0.00361450756673993,0.0108950595242672,0.745795539747878
7Pe0PR,J10_PNEUMOBACT,Bacterial pneumoniae,g_Coprococcus3,0.0508977385944309,0.0219509088066846,0.0490182267283541
CHDghv,J10_PNEUMOBACT,Bacterial pneumoniae,g_Ruminiclostridium6,0.0090889124990699,0.00964554922338232,0.360973591075292
Cnza8c,J10_PNEUMOBACT,Bacterial pneumoniae,g_Subdoligranulum,-0.00542083689065864,0.0111519305805866,0.636442409154487
dEyO43,J10_PNEUMOBACT,Bacterial pneumoniae,g_Erysipelatoclostridium,-0.0110874431904116,0.0152322666731373,0.47867780580426
DqHONl,J10_PNEUMOBACT,Bacterial pneumoniae,g_Paraprevotella,-0.00941926729207874,0.0128816162003284,0.479933055114829
feuRup,J10_PNEUMOBACT,Bacterial pneumoniae,g_Clostridiumsensustricto1,-0.00719529533549416,0.0128753770458772,0.593688417487945
GCST90011328,J10_PNEUMOBACT,Bacterial pneumoniae,G_Clostridium_XlVa abundance,0.0209178405679201,0.0186960422602244,0.314060280202637
GCST90011329,J10_PNEUMOBACT,Bacterial pneumoniae,G_Coprococcus abundance,-0.00812319226504168,0.0189844232760266,0.676311889378854
GCST90011336,J10_PNEUMOBACT,Bacterial pneumoniae,G_Paraprevotella abundance,0.000662279773860397,0.013621627952406,0.962022199855839
GCST90011342,J10_PNEUMOBACT,Bacterial pneumoniae,G_Roseburia abundance,0.0014870407562892,0.00905685268663983,0.873210143778328
GCST90011346,J10_PNEUMOBACT,Bacterial pneumoniae,G_Subdoligranulum abundance,-0.00899550148122086,0.012524999821996,0.490854202311624
GCST90011483,J10_PNEUMOBACT,Bacterial pneumoniae,P_Firmicutes abundance,0.00556302120029087,0.00945775280368003,0.57785289807474
GCST90032323,J10_PNEUMOBACT,Bacterial pneumoniae,Clostridium I abundance in stool,0.000719053938520879,0.00898354118723586,0.937783621241953
GCST90032326,J10_PNEUMOBACT,Bacterial pneumoniae,Clostridium P abundance in stool,-0.000236403497601981,0.00705091950507827,0.973555846137134
GCST90032396,J10_PNEUMOBACT,Bacterial pneumoniae,Firmicutes A abundance in stool,-0.00191260582811331,0.00894650800768465,0.833259782489029
GCST90032397,J10_PNEUMOBACT,Bacterial pneumoniae,Firmicutes E abundance in stool,-0.0019260666767417,0.00845493822873006,0.82236641814998
GCST90032398,J10_PNEUMOBACT,Bacterial pneumoniae,Firmicutes I abundance in stool,0.00700603189191483,0.00931670552445773,0.460405495814257
IaV7ha,J10_PNEUMOBACT,Bacterial pneumoniae,g_Clostridiuminnocuumgroup,0.0146654176253098,0.0272090112143976,0.602968259631808
Pf9yo3,J10_PNEUMOBACT,Bacterial pneumoniae,g_Eisenbergiella,0.0693441573642665,0.0316237755860838,0.0530852007357139
tYBQdJ,J10_PNEUMOBACT,Bacterial pneumoniae,g_Coprococcus2,-0.0257371737815953,0.0207110079803869,0.245386502497224
vEZ3Ql,J10_PNEUMOBACT,Bacterial pneumoniae,g_Lachnoclostridium,1.34754106876137e-05,0.0159224245320223,0.999338643843112
YDZwuO,J10_PNEUMOBACT,Bacterial pneumoniae,g_Coprococcus1,-0.00574080971520362,0.00959306327320198,0.560676939358786
YoyR09,J10_PNEUMOBACT,Bacterial pneumoniae,g_Dorea,0.00554880716849111,0.0132084299719241,0.682504053861836
