id.exposure,id.outcome,exposure,outcome,snp_r2.exposure,snp_r2.outcome,correct_causal_direction,steiger_pval
0perSf,J10_PNEUMOBACT,g_Roseburia,Bacterial pneumoniae,0.0242978394992522,0.000139905639454029,TRUE,1.41411407421104e-73
0uansG,J10_PNEUMOBACT,g_Butyrivibrio,Bacterial pneumoniae,0.101465686546715,8.44360897818435e-05,TRUE,7.73960343993617e-78
19r4CB,J10_PNEUMOBACT,p_Firmicutes,Bacterial pneumoniae,0.0252157948783159,0.000161732024900249,TRUE,2.57518781632557e-78
2v0Q66,J10_PNEUMOBACT,g_Anaerostipes,Bacterial pneumoniae,0.0231474193614592,7.88058824531696e-05,TRUE,1.31890574564367e-69
7Pe0PR,J10_PNEUMOBACT,g_Coprococcus3,Bacterial pneumoniae,0.0143174641971334,0.000116985953805603,TRUE,4.59237451813274e-40
CHDghv,J10_PNEUMOBACT,g_Ruminiclostridium6,Bacterial pneumoniae,0.0338923629018831,0.000135348053829239,TRUE,5.12403239292735e-76
Cnza8c,J10_PNEUMOBACT,g_Subdoligranulum,Bacterial pneumoniae,0.0211661540108401,0.000118733247215443,TRUE,7.13780675558574e-61
dEyO43,J10_PNEUMOBACT,g_Erysipelatoclostridium,Bacterial pneumoniae,0.0374045053013,0.000184766753035548,TRUE,1.74028884407095e-68
DqHONl,J10_PNEUMOBACT,g_Paraprevotella,Bacterial pneumoniae,0.0447626180560801,4.33383162092211e-05,TRUE,2.82515304571146e-64
feuRup,J10_PNEUMOBACT,g_Clostridiumsensustricto1,Bacterial pneumoniae,0.0198514981886971,3.61836430025972e-05,TRUE,2.60087412297657e-45
GCST90011328,J10_PNEUMOBACT,G_Clostridium_XlVa abundance,Bacterial pneumoniae,0.0166804006535222,4.71197421958663e-05,TRUE,1.03537455475857e-30
GCST90011329,J10_PNEUMOBACT,G_Coprococcus abundance,Bacterial pneumoniae,0.0330812629445377,4.97199072352661e-05,TRUE,1.23631794562438e-61
GCST90011336,J10_PNEUMOBACT,G_Paraprevotella abundance,Bacterial pneumoniae,0.0348642337047325,0.000205764331259323,TRUE,4.25282329541942e-60
GCST90011342,J10_PNEUMOBACT,G_Roseburia abundance,Bacterial pneumoniae,0.0251440970064851,7.55570761345903e-05,TRUE,1.54957114293766e-45
GCST90011346,J10_PNEUMOBACT,G_Subdoligranulum abundance,Bacterial pneumoniae,0.0255463169579071,9.20009940270878e-05,TRUE,9.12592870212787e-46
GCST90011483,J10_PNEUMOBACT,P_Firmicutes abundance,Bacterial pneumoniae,0.0186533371289291,3.3739749460423e-05,TRUE,6.43133306826078e-35
GCST90032323,J10_PNEUMOBACT,Clostridium I abundance in stool,Bacterial pneumoniae,0.0420260962615201,4.14249515511615e-05,TRUE,8.05929071881736e-54
GCST90032326,J10_PNEUMOBACT,Clostridium P abundance in stool,Bacterial pneumoniae,0.0859895314314171,0.000168191921322745,TRUE,7.97813950810373e-109
GCST90032396,J10_PNEUMOBACT,Firmicutes A abundance in stool,Bacterial pneumoniae,0.0709156568552624,0.000131748696606937,TRUE,2.67912712097464e-89
GCST90032397,J10_PNEUMOBACT,Firmicutes E abundance in stool,Bacterial pneumoniae,0.0732722581015953,0.000145014346093281,TRUE,4.17693339531137e-92
GCST90032398,J10_PNEUMOBACT,Firmicutes I abundance in stool,Bacterial pneumoniae,0.0837215712678941,9.27658290834744e-05,TRUE,3.78455541477814e-108
IaV7ha,J10_PNEUMOBACT,g_Clostridiuminnocuumgroup,Bacterial pneumoniae,0.0564794855389115,0.000152853534047959,TRUE,5.37474598553145e-48
Pf9yo3,J10_PNEUMOBACT,g_Eisenbergiella,Bacterial pneumoniae,0.0456139136019111,0.000180211918415143,TRUE,1.91883066319524e-51
tYBQdJ,J10_PNEUMOBACT,g_Coprococcus2,Bacterial pneumoniae,0.0202715228638554,0.000110490254888586,TRUE,3.88723741167597e-44
vEZ3Ql,J10_PNEUMOBACT,g_Lachnoclostridium,Bacterial pneumoniae,0.0173816730128645,0.000154281698541194,TRUE,2.5955814650376e-53
YDZwuO,J10_PNEUMOBACT,g_Coprococcus1,Bacterial pneumoniae,0.0235145629381021,0.000114028436245152,TRUE,4.45720936797167e-67
YoyR09,J10_PNEUMOBACT,g_Dorea,Bacterial pneumoniae,0.0204747732820036,0.000159448823115857,TRUE,4.78363307095128e-57
