id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval
0perSf,J10_PNEUMOBACT,Bacterial pneumoniae,g_Roseburia,Weighted median,17,0.0422625434662298,0.0660660434771202,0.522366715969531
0uansG,J10_PNEUMOBACT,Bacterial pneumoniae,g_Butyrivibrio,Weighted median,16,-0.00428821209731684,0.0296381057035622,0.88495897609484
19r4CB,J10_PNEUMOBACT,Bacterial pneumoniae,p_Firmicutes,Weighted median,18,0.0218201878613079,0.0628983776256061,0.728657599791866
2v0Q66,J10_PNEUMOBACT,Bacterial pneumoniae,g_Anaerostipes,Weighted median,14,0.014438305698368,0.0731997919193097,0.843635681147413
7Pe0PR,J10_PNEUMOBACT,Bacterial pneumoniae,g_Coprococcus3,Weighted median,10,0.0759963416046256,0.0873619382179067,0.384353857141929
CHDghv,J10_PNEUMOBACT,Bacterial pneumoniae,g_Ruminiclostridium6,Weighted median,17,0.046326779958968,0.0579156882579979,0.423768528482455
Cnza8c,J10_PNEUMOBACT,Bacterial pneumoniae,g_Subdoligranulum,Weighted median,13,0.109957028915069,0.0724845763834489,0.129273906417984
dEyO43,J10_PNEUMOBACT,Bacterial pneumoniae,g_Erysipelatoclostridium,Weighted median,16,-0.00203869278583157,0.0534570331056374,0.96957842247157
DqHONl,J10_PNEUMOBACT,Bacterial pneumoniae,g_Paraprevotella,Weighted median,13,-0.00830384159570706,0.0423213839123321,0.844446488203855
feuRup,J10_PNEUMOBACT,Bacterial pneumoniae,g_Clostridiumsensustricto1,Weighted median,9,-0.0280099834541247,0.0705426110529308,0.691319721216279
GCST90011328,J10_PNEUMOBACT,Bacterial pneumoniae,G_Clostridium_XlVa abundance,Weighted median,7,-0.0606733179412627,0.0658046403065883,0.356517164730932
GCST90011329,J10_PNEUMOBACT,Bacterial pneumoniae,G_Coprococcus abundance,Weighted median,14,0.000730822737099557,0.040736653266328,0.985686578197481
GCST90011336,J10_PNEUMOBACT,Bacterial pneumoniae,G_Paraprevotella abundance,Weighted median,14,-0.0140423013105049,0.0261970744578275,0.591940890672767
GCST90011342,J10_PNEUMOBACT,Bacterial pneumoniae,G_Roseburia abundance,Weighted median,11,0.0416393267345622,0.0518035686458373,0.421516746304601
GCST90011346,J10_PNEUMOBACT,Bacterial pneumoniae,G_Subdoligranulum abundance,Weighted median,11,0.0632646962436351,0.0561026983494863,0.259464083260068
GCST90011483,J10_PNEUMOBACT,Bacterial pneumoniae,P_Firmicutes abundance,Weighted median,8,0.0221770304240971,0.0578067048349084,0.701244440046258
GCST90032323,J10_PNEUMOBACT,Bacterial pneumoniae,Clostridium I abundance in stool,Weighted median,12,0.118490881305293,0.152581984377867,0.437411386305112
GCST90032326,J10_PNEUMOBACT,Bacterial pneumoniae,Clostridium P abundance in stool,Weighted median,24,0.00694277565611217,0.0844525289848468,0.934480350039743
GCST90032396,J10_PNEUMOBACT,Bacterial pneumoniae,Firmicutes A abundance in stool,Weighted median,19,-0.241023867427344,0.202175910500442,0.23320271440733
GCST90032397,J10_PNEUMOBACT,Bacterial pneumoniae,Firmicutes E abundance in stool,Weighted median,20,-0.041843010335463,0.217521513139541,0.847458162698895
GCST90032398,J10_PNEUMOBACT,Bacterial pneumoniae,Firmicutes I abundance in stool,Weighted median,23,-0.845443529222654,0.421856843771279,0.045059291387489
IaV7ha,J10_PNEUMOBACT,Bacterial pneumoniae,g_Clostridiuminnocuumgroup,Weighted median,11,-0.00843390179189452,0.0446090128451682,0.850043651071887
Pf9yo3,J10_PNEUMOBACT,Bacterial pneumoniae,g_Eisenbergiella,Weighted median,12,-0.0115885400466164,0.0474147222297212,0.806914803798375
tYBQdJ,J10_PNEUMOBACT,Bacterial pneumoniae,g_Coprococcus2,Weighted median,11,-0.057239487284696,0.0709741384460606,0.419963990614326
vEZ3Ql,J10_PNEUMOBACT,Bacterial pneumoniae,g_Lachnoclostridium,Weighted median,14,0.00965505369944167,0.0787865599486738,0.902465854617165
YDZwuO,J10_PNEUMOBACT,Bacterial pneumoniae,g_Coprococcus1,Weighted median,14,0.0239837872386255,0.0718619724492808,0.738569750110075
YoyR09,J10_PNEUMOBACT,Bacterial pneumoniae,g_Dorea,Weighted median,13,-0.034383010571009,0.0746112070654601,0.644921268614189
