id.exposure,id.outcome,exposure,outcome,b,se,pval,PRESSO_pval,method
A6BM72,J10_PNEUMOBACT,MEGF11,Bacterial pneumoniae,-0.120820525942099,0.0303296494465588,0.0283115090295277,0.821,MR-PRESSO (Outlier-corrected)
A6NFN3,J10_PNEUMOBACT,RBFOX3,Bacterial pneumoniae,-0.220978384248068,0.102008621264141,0.0962108300971505,0.558,MR-PRESSO (Outlier-corrected)
O00182,J10_PNEUMOBACT,LGALS9,Bacterial pneumoniae,0.0605669401431182,0.0231264665231128,0.0136979848627759,0.034,MR-PRESSO (Outlier-corrected)
O00206,J10_PNEUMOBACT,TLR4,Bacterial pneumoniae,-0.0998008663273056,0.0167542244039618,0.00946333465608864,0.848,MR-PRESSO (Outlier-corrected)
O00221,J10_PNEUMOBACT,NFKBIE,Bacterial pneumoniae,0.0594149600003686,0.0289717964823778,0.132663817014238,0.515,MR-PRESSO (Outlier-corrected)
O14578,J10_PNEUMOBACT,CIT,Bacterial pneumoniae,0.24438569652803,0.109543854708777,0.111898845018475,0.475,MR-PRESSO (Outlier-corrected)
O14798,J10_PNEUMOBACT,TNFRSF10C,Bacterial pneumoniae,0.0411056121898401,0.0144717538767205,0.00603477422881287,0.154,MR-PRESSO (Outlier-corrected)
O14917,J10_PNEUMOBACT,PCDH17,Bacterial pneumoniae,-0.044744315191427,0.0222637903735086,0.0519999834617742,0.002,MR-PRESSO (Outlier-corrected)
O15234,J10_PNEUMOBACT,CASC3,Bacterial pneumoniae,0.161564686574954,0.0580392075115137,0.0496295935120293,0.772,MR-PRESSO (Outlier-corrected)
O15389,J10_PNEUMOBACT,SIGLEC5,Bacterial pneumoniae,0.0374636731117049,0.0125099702193896,0.00557230367681338,0.575,MR-PRESSO (Outlier-corrected)
O43653,J10_PNEUMOBACT,PSCA,Bacterial pneumoniae,-0.0166046593531258,0.00789622173541926,0.0405328877335283,0.906,MR-PRESSO (Outlier-corrected)
O43805,J10_PNEUMOBACT,SSNA1,Bacterial pneumoniae,0.151960534888399,0.0423718592861654,0.0071221301294547,0.899,MR-PRESSO (Outlier-corrected)
O60449,J10_PNEUMOBACT,LY75,Bacterial pneumoniae,0.0362300468199613,0.0143068777207459,0.0147297258385394,0.166,MR-PRESSO (Outlier-corrected)
O60880,J10_PNEUMOBACT,SH2D1A,Bacterial pneumoniae,0.159386043471826,0.0461736529925683,0.0136016188929334,0.744,MR-PRESSO (Outlier-corrected)
O75023,J10_PNEUMOBACT,LILRB5,Bacterial pneumoniae,0.0269801090323973,0.00700676236785169,0.000451476061450414,0.97,MR-PRESSO (Outlier-corrected)
O75144,J10_PNEUMOBACT,ICOSLG,Bacterial pneumoniae,0.0750822956297677,0.0326669793542004,0.0319079599366649,0.642,MR-PRESSO (Outlier-corrected)
O75493,J10_PNEUMOBACT,CA11,Bacterial pneumoniae,-0.139397331423671,0.0316099893860091,0.0116013928716591,0.898,MR-PRESSO (Outlier-corrected)
