id.exposure,id.outcome,exposure,outcome,b,se,pval,method
A6BM72,J10_PNEUMOBACT,MEGF11,Bacterial pneumoniae,-0.124985386997951,0.311224489795918,0.135150082156211,Contamination mixture
A6NFN3,J10_PNEUMOBACT,RBFOX3,Bacterial pneumoniae,-0.302678862153396,0.176020408163265,0.0530557217428401,Contamination mixture
A6NGG8,J10_PNEUMOBACT,PCARE,Bacterial pneumoniae,0.0599125157898331,0.0561224489795918,0.233633947202495,Contamination mixture
O00182,J10_PNEUMOBACT,LGALS9,Bacterial pneumoniae,0.0502572255280194,0.0280612244897959,0.020038302606362,Contamination mixture
O00206,J10_PNEUMOBACT,TLR4,Bacterial pneumoniae,-0.0977780504096294,0.308673469387755,0.0554108146758652,Contamination mixture
O00221,J10_PNEUMOBACT,NFKBIE,Bacterial pneumoniae,0.0622212890963095,0.137755102040816,0.148118170801583,Contamination mixture
O14578,J10_PNEUMOBACT,CIT,Bacterial pneumoniae,0.283275676282524,0.193877551020408,0.128328812532322,Contamination mixture
O14798,J10_PNEUMOBACT,TNFRSF10C,Bacterial pneumoniae,0.0519417727160485,0.0178571428571429,0.0181800053890941,Contamination mixture
O14917,J10_PNEUMOBACT,PCDH17,Bacterial pneumoniae,-0.102663110171802,0.0433673469387755,0.108170706538405,Contamination mixture
O15234,J10_PNEUMOBACT,CASC3,Bacterial pneumoniae,0.180989700575576,0.127551020408163,0.0731720756498314,Contamination mixture
O15294,J10_PNEUMOBACT,OGT,Bacterial pneumoniae,0.151129229354698,0.288265306122449,0.260704042070431,Contamination mixture
O15389,J10_PNEUMOBACT,SIGLEC5,Bacterial pneumoniae,0.030740190226809,0.010204081632653,0.0191868411739178,Contamination mixture
O43653,J10_PNEUMOBACT,PSCA,Bacterial pneumoniae,-0.0120148937252972,0.0076530612244898,0.148468537132479,Contamination mixture
O43805,J10_PNEUMOBACT,SSNA1,Bacterial pneumoniae,0.196145540556442,0.0816326530612245,0.0224044064246208,Contamination mixture
O60449,J10_PNEUMOBACT,LY75,Bacterial pneumoniae,0.0353831535939948,0.0127551020408163,0.0491947580453012,Contamination mixture
O60880,J10_PNEUMOBACT,SH2D1A,Bacterial pneumoniae,0.160418712825541,0.125,0.060314947281589,Contamination mixture
O60941,J10_PNEUMOBACT,DTNB,Bacterial pneumoniae,0.155644994121651,0.198979591836735,0.231952828632264,Contamination mixture
O75023,J10_PNEUMOBACT,LILRB5,Bacterial pneumoniae,0.0258852148703299,0.00765306122448975,0.00464514702489935,Contamination mixture
O75144,J10_PNEUMOBACT,ICOSLG,Bacterial pneumoniae,0.0913121556217169,0.038265306122449,0.0151692862022769,Contamination mixture
O75493,J10_PNEUMOBACT,CA11,Bacterial pneumoniae,-0.15156215846769,0.086734693877551,0.0372048068064361,Contamination mixture
O75711,J10_PNEUMOBACT,SCRG1,Bacterial pneumoniae,-0.225628252521265,0.122448979591837,0.0476587606405411,Contamination mixture
O75888,J10_PNEUMOBACT,TNFSF13,Bacterial pneumoniae,-0.104389754772087,0.0306122448979592,0.00606511831939675,Contamination mixture
