id.exposure,id.outcome,outcome,exposure,method,Q,Q_df,Q_pval
A6BM72,J10_PNEUMOBACT,Bacterial pneumoniae,MEGF11,MR Egger,0.649298708675174,2,0.722780749148023
A6BM72,J10_PNEUMOBACT,Bacterial pneumoniae,MEGF11,Inverse variance weighted,0.666657556489923,3,0.881016968820531
A6NFN3,J10_PNEUMOBACT,Bacterial pneumoniae,RBFOX3,MR Egger,1.32552323163578,3,0.723081439588053
A6NFN3,J10_PNEUMOBACT,Bacterial pneumoniae,RBFOX3,Inverse variance weighted,3.33429465815518,4,0.503516979775999
A6NGG8,J10_PNEUMOBACT,Bacterial pneumoniae,PCARE,MR Egger,0.447862523975854,1,0.503351759256497
A6NGG8,J10_PNEUMOBACT,Bacterial pneumoniae,PCARE,Inverse variance weighted,0.457753189133681,2,0.795426687423514
O00182,J10_PNEUMOBACT,Bacterial pneumoniae,LGALS9,MR Egger,44.3710516937995,30,0.0441219416135675
O00182,J10_PNEUMOBACT,Bacterial pneumoniae,LGALS9,Inverse variance weighted,48.3653991932085,31,0.0242690929062853
O00206,J10_PNEUMOBACT,Bacterial pneumoniae,TLR4,MR Egger,0.154315373462276,2,0.925743864572656
O00206,J10_PNEUMOBACT,Bacterial pneumoniae,TLR4,Inverse variance weighted,0.392867314091633,3,0.941711967650447
O00221,J10_PNEUMOBACT,Bacterial pneumoniae,NFKBIE,MR Egger,0.811570332258813,2,0.666453328794575
O00221,J10_PNEUMOBACT,Bacterial pneumoniae,NFKBIE,Inverse variance weighted,1.8699434668283,3,0.599833984883419
O14578,J10_PNEUMOBACT,Bacterial pneumoniae,CIT,MR Egger,3.01159030378488,2,0.221840826529057
O14578,J10_PNEUMOBACT,Bacterial pneumoniae,CIT,Inverse variance weighted,3.03194347330639,3,0.386726294684181
O14798,J10_PNEUMOBACT,Bacterial pneumoniae,TNFRSF10C,MR Egger,71.9622955468233,63,0.205484775174115
O14798,J10_PNEUMOBACT,Bacterial pneumoniae,TNFRSF10C,Inverse variance weighted,74.1535228204717,64,0.180836662378118
O14917,J10_PNEUMOBACT,Bacterial pneumoniae,PCDH17,MR Egger,65.7400867025858,35,0.0012601695954141
O14917,J10_PNEUMOBACT,Bacterial pneumoniae,PCDH17,Inverse variance weighted,65.8815396345983,36,0.001723469515868
O15234,J10_PNEUMOBACT,Bacterial pneumoniae,CASC3,MR Egger,2.22397761957723,3,0.527240982681201
O15234,J10_PNEUMOBACT,Bacterial pneumoniae,CASC3,Inverse variance weighted,2.26205166261339,4,0.687686401606754
