id.exposure,id.outcome,outcome,exposure,egger_intercept,se,pval
A6BM72,J10_PNEUMOBACT,Bacterial pneumoniae,MEGF11,-0.00220665408339705,0.0167484187346266,0.907238263687555
A6NFN3,J10_PNEUMOBACT,Bacterial pneumoniae,RBFOX3,0.0274578151188822,0.0193731711575629,0.251397142928961
A6NGG8,J10_PNEUMOBACT,Bacterial pneumoniae,PCARE,0.00162867098796566,0.0163764819378098,0.93689450873609
O00182,J10_PNEUMOBACT,Bacterial pneumoniae,LGALS9,0.00916833732638043,0.00557900685752933,0.110749214426105
O00206,J10_PNEUMOBACT,Bacterial pneumoniae,TLR4,-0.00744821262908062,0.0152496750407241,0.673556602547291
O00221,J10_PNEUMOBACT,Bacterial pneumoniae,NFKBIE,0.00720204256157516,0.00700061638150324,0.411733430537733
O14578,J10_PNEUMOBACT,Bacterial pneumoniae,CIT,0.00214697076814452,0.0184668598715091,0.918067638061673
O14798,J10_PNEUMOBACT,Bacterial pneumoniae,TNFRSF10C,-0.00353544013623967,0.00255259553427185,0.170926145298585
O14917,J10_PNEUMOBACT,Bacterial pneumoniae,PCDH17,-0.00139787374719261,0.00509381403667676,0.785370773922612
O15234,J10_PNEUMOBACT,Bacterial pneumoniae,CASC3,0.00260874334401468,0.0133695520318734,0.857761993549668
O15294,J10_PNEUMOBACT,Bacterial pneumoniae,OGT,0.000582938978624131,0.0194324063525378,0.980908220384347
O15389,J10_PNEUMOBACT,Bacterial pneumoniae,SIGLEC5,0.00243943212029866,0.00448648406241979,0.590931335075629
O43653,J10_PNEUMOBACT,Bacterial pneumoniae,PSCA,0.00139469167864256,0.00335887398559309,0.679789114523314
O43805,J10_PNEUMOBACT,Bacterial pneumoniae,SSNA1,-0.00288014185465352,0.0124731823876802,0.823990994053931
O60449,J10_PNEUMOBACT,Bacterial pneumoniae,LY75,0.00434715503766993,0.00416025006057766,0.301517168265235
O60880,J10_PNEUMOBACT,Bacterial pneumoniae,SH2D1A,0.0100487515608314,0.0123635698334903,0.453295211865761
O60941,J10_PNEUMOBACT,Bacterial pneumoniae,DTNB,-0.0354662821594584,0.065713580191386,0.684931287162027
O75023,J10_PNEUMOBACT,Bacterial pneumoniae,LILRB5,-0.00429226768299211,0.00407259879205039,0.298933749214351
O75144,J10_PNEUMOBACT,Bacterial pneumoniae,ICOSLG,0.00202648199094007,0.00667628806324601,0.764617828435375
O75493,J10_PNEUMOBACT,Bacterial pneumoniae,CA11,0.00395524186927384,0.012166524407252,0.766463382143559
O75711,J10_PNEUMOBACT,Bacterial pneumoniae,SCRG1,0.00180868164736261,0.0119292709813534,0.889110926518687
O75888,J10_PNEUMOBACT,Bacterial pneumoniae,TNFSF13,-0.00131831459691094,0.00555669357153955,0.815003725598149
O76036,J10_PNEUMOBACT,Bacterial pneumoniae,NCR1,0.000912555126726068,0.00353249722632902,0.79735570344556
O76038,J10_PNEUMOBACT,Bacterial pneumoniae,SCGN,0.00217106999601161,0.0135129253840321,0.875904817299452
O94760,J10_PNEUMOBACT,Bacterial pneumoniae,DDAH1,-0.0215588144880613,0.0104960859580359,0.0740484173725753
O94830,J10_PNEUMOBACT,Bacterial pneumoniae,DDHD2,-0.00496477776087464,0.010851867147365,0.663407243886389
O95433,J10_PNEUMOBACT,Bacterial pneumoniae,AHSA1,0.0228346087534534,0.0185814135553206,0.344081424284859
O95793,J10_PNEUMOBACT,Bacterial pneumoniae,STAU1,-0.000318402342080666,0.0186704794091439,0.989144275576225
P00352,J10_PNEUMOBACT,Bacterial pneumoniae,ALDH1A1,0.0206946403035782,0.0177228057150973,0.307789601680843
