id.exposure,id.outcome,exposure,outcome,snp_r2.exposure,snp_r2.outcome,correct_causal_direction,steiger_pval
A6BM72,J10_PNEUMOBACT,MEGF11,Bacterial pneumoniae,0.0188952230427407,3.21317903230617e-05,TRUE,5.39493424598383e-119
A6NFN3,J10_PNEUMOBACT,RBFOX3,Bacterial pneumoniae,0.00550621847100017,5.54828995075203e-05,TRUE,1.91247969042295e-32
A6NGG8,J10_PNEUMOBACT,PCARE,Bacterial pneumoniae,0.0186856544093948,1.61239580290351e-05,TRUE,1.47328941466447e-120
O00182,J10_PNEUMOBACT,LGALS9,Bacterial pneumoniae,0.133219646563847,0.000463049357622483,TRUE,0
O00206,J10_PNEUMOBACT,TLR4,Bacterial pneumoniae,0.0169118623730518,3.84197875155242e-05,TRUE,1.60250462015203e-105
O00221,J10_PNEUMOBACT,NFKBIE,Bacterial pneumoniae,0.0275501097778631,3.45127827775294e-05,TRUE,6.30926507308632e-176
O14578,J10_PNEUMOBACT,CIT,Bacterial pneumoniae,0.00507542482801523,6.14692299020423e-05,TRUE,9.0385110668106e-29
O14798,J10_PNEUMOBACT,TNFRSF10C,Bacterial pneumoniae,0.327793498584603,0.000648902058283621,TRUE,0
O14917,J10_PNEUMOBACT,PCDH17,Bacterial pneumoniae,0.185012623485471,0.000561668440694132,TRUE,0
O15234,J10_PNEUMOBACT,CASC3,Bacterial pneumoniae,0.00998843264057015,5.11477762264761e-05,TRUE,7.63661643923836e-60
O15294,J10_PNEUMOBACT,OGT,Bacterial pneumoniae,0.00287476998044518,1.17129566969952e-05,TRUE,9.36180582028741e-19
O15389,J10_PNEUMOBACT,SIGLEC5,Bacterial pneumoniae,0.251598119688479,0.000283436195095084,TRUE,0
O43653,J10_PNEUMOBACT,PSCA,Bacterial pneumoniae,0.637470171661128,0.000324524588056783,TRUE,0
O43805,J10_PNEUMOBACT,SSNA1,Bacterial pneumoniae,0.0148325566620298,7.42357323967157e-05,TRUE,2.60341006841403e-90
O60449,J10_PNEUMOBACT,LY75,Bacterial pneumoniae,0.308974958003523,0.000499961645803551,TRUE,0
O60880,J10_PNEUMOBACT,SH2D1A,Bacterial pneumoniae,0.0126031195639366,7.6299871467343e-05,TRUE,1.73613881400084e-75
O60941,J10_PNEUMOBACT,DTNB,Bacterial pneumoniae,0.00361654698288131,1.4099494428843e-05,TRUE,1.73987754196956e-23
O75023,J10_PNEUMOBACT,LILRB5,Bacterial pneumoniae,0.495507030108406,0.000243632582543862,TRUE,0
O75144,J10_PNEUMOBACT,ICOSLG,Bacterial pneumoniae,0.0431490594296796,0.000178645592549686,TRUE,6.19432987946271e-266
O75493,J10_PNEUMOBACT,CA11,Bacterial pneumoniae,0.0173575642685505,6.15606914805259e-05,TRUE,1.90923925870315e-105
O75711,J10_PNEUMOBACT,SCRG1,Bacterial pneumoniae,0.00585043366314273,3.89566163779111e-05,TRUE,8.16785931287316e-36
O75888,J10_PNEUMOBACT,TNFSF13,Bacterial pneumoniae,0.0919861202224306,0.000234721186243758,TRUE,0
O76036,J10_PNEUMOBACT,NCR1,Bacterial pneumoniae,0.141622442844184,0.000495764287179576,TRUE,0
O76038,J10_PNEUMOBACT,SCGN,Bacterial pneumoniae,0.0289700923170612,0.000208498405842423,TRUE,8.5607666981331e-168
O94760,J10_PNEUMOBACT,DDAH1,Bacterial pneumoniae,0.0331871620066171,0.000188414379048182,TRUE,6.8758985092598e-199
O94830,J10_PNEUMOBACT,DDHD2,Bacterial pneumoniae,0.0131790618511136,2.23274491818895e-05,TRUE,1.36435359368643e-85
O95433,J10_PNEUMOBACT,AHSA1,Bacterial pneumoniae,0.00399641980177589,6.54185536877675e-05,TRUE,1.42344850857843e-22
O95793,J10_PNEUMOBACT,STAU1,Bacterial pneumoniae,0.00757095267181299,2.46605494528416e-05,TRUE,1.07448347668187e-46
P00352,J10_PNEUMOBACT,ALDH1A1,Bacterial pneumoniae,0.0103588244811404,6.58319134373986e-05,TRUE,4.4728747442244e-62
P00734,J10_PNEUMOBACT,F2,Bacterial pneumoniae,0.0175118608312643,0.000163506857847435,TRUE,2.59745348506918e-101
P00748,J10_PNEUMOBACT,F12,Bacterial pneumoniae,0.325801409495431,0.000528382958705066,TRUE,0
P00915,J10_PNEUMOBACT,CA1,Bacterial pneumoniae,0.0183788577957523,7.22978983334345e-05,TRUE,1.05924658536349e-110
P01031,J10_PNEUMOBACT,C5,Bacterial pneumoniae,0.0144113110680472,4.67183847735092e-05,TRUE,8.16075286510229e-91
P01037,J10_PNEUMOBACT,CST1,Bacterial pneumoniae,0.211320107123082,0.000440461803325181,TRUE,0
P01375,J10_PNEUMOBACT,TNF,Bacterial pneumoniae,0.0207816814323709,7.6074165670917e-05,TRUE,4.27309766355831e-126
