id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval
A6BM72,J10_PNEUMOBACT,Bacterial pneumoniae,MEGF11,Weighted median,4,-0.145977712866016,0.0673409913430396,0.0301785281630259
A6NFN3,J10_PNEUMOBACT,Bacterial pneumoniae,RBFOX3,Weighted median,5,-0.268192112457716,0.145834301356283,0.0659123295885883
A6NGG8,J10_PNEUMOBACT,Bacterial pneumoniae,PCARE,Weighted median,3,0.0548172103348453,0.0511263877872274,0.283634625394972
O00182,J10_PNEUMOBACT,Bacterial pneumoniae,LGALS9,Weighted median,32,0.0456888256154503,0.0290326410297018,0.115555559703228
O00206,J10_PNEUMOBACT,Bacterial pneumoniae,TLR4,Weighted median,4,-0.0893291685052287,0.0475207253489008,0.0601361753823776
O00221,J10_PNEUMOBACT,Bacterial pneumoniae,NFKBIE,Weighted median,4,0.051809819469651,0.0369667760920504,0.161057471614275
O14578,J10_PNEUMOBACT,Bacterial pneumoniae,CIT,Weighted median,4,0.24718350009386,0.130261221334578,0.0577489902747192
O14798,J10_PNEUMOBACT,Bacterial pneumoniae,TNFRSF10C,Weighted median,65,0.0631922679581944,0.0216062943269402,0.00344771060957113
O14917,J10_PNEUMOBACT,Bacterial pneumoniae,PCDH17,Weighted median,37,-0.0465848111145611,0.0279102677284338,0.0950991021423616
O15234,J10_PNEUMOBACT,Bacterial pneumoniae,CASC3,Weighted median,5,0.148561757077814,0.08900340013458,0.0950838013042716
O15294,J10_PNEUMOBACT,Bacterial pneumoniae,OGT,Weighted median,3,0.156468174411871,0.154730772254128,0.311907054385972
O15389,J10_PNEUMOBACT,Bacterial pneumoniae,SIGLEC5,Weighted median,30,0.0380335010570066,0.0185563861315901,0.0404017328973872
O43653,J10_PNEUMOBACT,Bacterial pneumoniae,PSCA,Weighted median,51,-0.0155188204288444,0.0133748517533411,0.245927294971759
O43805,J10_PNEUMOBACT,Bacterial pneumoniae,SSNA1,Weighted median,9,0.161923904937568,0.0787268310227752,0.0397072296550697
O60449,J10_PNEUMOBACT,Bacterial pneumoniae,LY75,Weighted median,48,0.0244535249258935,0.0186638680723037,0.19012592106112
O60880,J10_PNEUMOBACT,Bacterial pneumoniae,SH2D1A,Weighted median,7,0.105567884980039,0.0815522842883672,0.195499317582657
O60941,J10_PNEUMOBACT,Bacterial pneumoniae,DTNB,Weighted median,3,0.133883199513996,0.151893169701589,0.378085115590117
O75023,J10_PNEUMOBACT,Bacterial pneumoniae,LILRB5,Weighted median,38,0.0277971478627613,0.0128389300875594,0.0303825307604079
O75144,J10_PNEUMOBACT,Bacterial pneumoniae,ICOSLG,Weighted median,22,0.103209292591875,0.049636417722249,0.0375892499127526
O75493,J10_PNEUMOBACT,Bacterial pneumoniae,CA11,Weighted median,5,-0.144822858841941,0.0578542410068884,0.0123063212872631
O75711,J10_PNEUMOBACT,Bacterial pneumoniae,SCRG1,Weighted median,5,-0.220462593740484,0.11633718345342,0.058088266768212
O75888,J10_PNEUMOBACT,Bacterial pneumoniae,TNFSF13,Weighted median,21,-0.102041352351251,0.0368434812132447,0.00561268242160127
O76036,J10_PNEUMOBACT,Bacterial pneumoniae,NCR1,Weighted median,46,0.0580604273908087,0.0294051635296269,0.0483251801254666
O76038,J10_PNEUMOBACT,Bacterial pneumoniae,SCGN,Weighted median,11,-0.169438420450343,0.0600952261429921,0.0048098704706547
O94760,J10_PNEUMOBACT,Bacterial pneumoniae,DDAH1,Weighted median,10,-0.0784413864386926,0.0540022219750214,0.146346376135353
O94830,J10_PNEUMOBACT,Bacterial pneumoniae,DDHD2,Weighted median,8,0.106742406074743,0.0803610601861372,0.184083910522112
O95433,J10_PNEUMOBACT,Bacterial pneumoniae,AHSA1,Weighted median,4,0.327595354309644,0.139044082552207,0.0184702369738279
O95793,J10_PNEUMOBACT,Bacterial pneumoniae,STAU1,Weighted median,3,-0.134637869924471,0.0941184762987882,0.152569331448836
P00352,J10_PNEUMOBACT,Bacterial pneumoniae,ALDH1A1,Weighted median,6,-0.223866542414547,0.0934488289253676,0.0165929316164578
P00734,J10_PNEUMOBACT,Bacterial pneumoniae,F2,Weighted median,8,0.206396045721501,0.0695493123948817,0.00300113489961854
P00748,J10_PNEUMOBACT,Bacterial pneumoniae,F12,Weighted median,45,0.0377447309296564,0.0178901405731768,0.0348750453345239
P00915,J10_PNEUMOBACT,Bacterial pneumoniae,CA1,Weighted median,6,-0.0726251593652736,0.0697615663697838,0.297853136963249
P01031,J10_PNEUMOBACT,Bacterial pneumoniae,C5,Weighted median,4,0.127405919670619,0.0681161570069246,0.0614253186070618
