Tags,Checked,Name,Formula,Annot. Source: Predicted Compositions,Annot. Source: mzCloud Search,Annot. Source: ChemSpider Search,Annot. Source: MassList Search,Annot. DeltaMass [ppm],Calc. MW,m/z,RT [min],Area (Max.),# ChemSpider Results,# mzCloud Results,mzCloud Best Match,mzCloud Best Match Confidence,Mass List Match: Arita Lab 6549 Flavonoid Structure Database,Mass List Match: HMDB All metabolites (v5. 217719 cpds),Mass List Match: Natural Products Atlas 2023_06,MS2,Reference Ion,Area: HQQD_raw_file_F1,Peak Rating (Max.),Peak Rating: HQQD_raw_file_F1,Filter_Source,PubChem_CID,SMILES,Search_Status,Match_Source,,GI absorption,Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations
,FALSE,5'-S-Methyl-5'-thioadenosine,C11 H15 N5 O3 S,Not the top hit,Full match,Full match,Full match,-0.94,297.08928,298.09656,3.849,423436765.2,37,2,96.8,57.4,No matches found,Multiple matches found,Single match found,DDA for preferred ion,[M+H]+1,423436765.2,8.4,8.4,Layer1_Strict,439176,CSCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O,Success,PubChem_CID,,Low,0,1,1,1,0
,FALSE,"5,2'-Dihydroxy-6,7,8,6'-tetramethoxyflavone",C19 H18 O8,Not the top hit,Full match,No match,Full match,-1.37,374.09965,375.10654,14.292,1068198956,1,4,93.2,9.7,Multiple matches found,Multiple matches found,Multiple matches found,DDA for preferred ion,[M+H]+1,1068198956,8.9,8.9,Layer1_Strict,124211,COC1=CC=CC(=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)OC)OC)OC)O)O,Success,PubChem_CID,,High,0,0,0,0,0
,FALSE,Biochanin A,C16 H12 O5,Full match,Full match,Partial match,Not the top hit,-3.51,284.06748,285.07471,9.479,856319643.8,191,14,92.1,9.6,Multiple matches found,Multiple matches found,Multiple matches found,DDA for preferred ion,[M+H]+1,856319643.8,7.8,7.8,Layer1_Strict,5280373,COC1=CC=C(C=C1)C2=COC3=CC(=CC(=C3C2=O)O)O,Success,PubChem_CID,,High,0,0,0,0,0
,FALSE,Formononetin,C16 H12 O4,Full match,Full match,Full match,Full match,-0.45,268.07344,267.06628,14.089,304127392,225,1,91,9.5,Multiple matches found,Multiple matches found,No matches found,DDA for preferred ion,[M-H]-1,304127392,10,10,Layer1_Strict,5280378,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O,Success,PubChem_CID,,High,0,0,0,0,0
,FALSE,Tangeritin,C20 H20 O7,Full match,Full match,Partial match,Partial match,-2.59,372.11994,373.1272,15.514,11135036138,108,3,93.5,9.7,Multiple matches found,Multiple matches found,Multiple matches found,DDA for preferred ion,[M+H]+1,11135036138,10,10,Layer1_Strict,68077,COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC,Success,PubChem_CID,,High,0,0,0,0,0
,FALSE,"3,5-Dimethoxybenzoic acid",C9 H10 O4,Full match,Full match,Partial match,Partial match,-3.65,182.05724,181.04988,8.35,455185841,104,4,82.1,9.1,No matches found,Multiple matches found,Multiple matches found,DDA for preferred ion,[M-H]-1,455185841,9.5,9.5,Layer1_Strict,14332,COC1=CC(=CC(=C1)C(=O)O)OC,Success,PubChem_CID,,High,0,0,0,0,1
,FALSE,Aflatoxin G2,C17 H14 O7,Full match,Full match,Full match,Not the top hit,-1.03,330.07361,331.08072,11.461,341850549.1,82,6,88.2,9.4,Multiple matches found,Multiple matches found,Multiple matches found,DDA for preferred ion,[M+H]+1,341850549.1,7.8,7.8,Layer1_Strict,2724362,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5CCOC5OC4=C1,Success,PubChem_CID,,High,0,0,0,0,0
,FALSE,Methoxsalen,C12 H8 O4,Full match,Full match,Not the top hit,Partial match,-1.8,216.04187,217.04915,13.266,213391948.9,30,4,91.6,9.6,No matches found,Multiple matches found,No matches found,DDA for preferred ion,[M+H]+1,213391948.9,9.5,9.5,Layer1_Strict,4114,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,Success,PubChem_CID,,High,0,0,0,0,0
,FALSE,Berberine,C20 H17 N O4,No results,Full match,Partial match,No match,-2.42,335.11495,336.12222,8.966,29847495955,238,9,80.8,9,No matches found,Multiple matches found,No matches found,DDA for preferred ion,[M+H]+1,29847495955,9.5,9.5,Layer1_Strict,2353,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC,Formula Mismatch (C20H18NO4+),PubChem_CID,,High,0,0,0,0,0
,FALSE,Vanillin,C8 H8 O3,Full match,Full match,Not the top hit,Not the top hit,-2.92,152.0469,153.05437,7.128,312068270.8,66,9,93.4,94.7,No matches found,Multiple matches found,Multiple matches found,DDA for preferred ion,[M+H]+1,312068270.8,9.5,9.5,Layer1_Strict,1183,COC1=C(C=CC(=C1)C=O)O,Success,PubChem_CID,,High,0,2,0,0,1
