PubChem_CID,Ingredient_name,SMILES,Target,Common name,Uniprot ID,Target Class,Probability*
124211,"5,2'-Dihydroxy-6,7,8,6'-tetramethoxyflavone",COC1=CC=CC(=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)OC)OC)OC)O)O,Aldose reductase   (by homology),AKR1B1,P15121,Enzyme,0.20127836818
124211,"5,2'-Dihydroxy-6,7,8,6'-tetramethoxyflavone",COC1=CC=CC(=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)OC)OC)OC)O)O,Cytochrome P450 1B1,CYP1B1,Q16678,Cytochrome P450,0.153290396807
124211,"5,2'-Dihydroxy-6,7,8,6'-tetramethoxyflavone",COC1=CC=CC(=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)OC)OC)OC)O)O,Stem cell growth factor receptor,KIT,P10721,Kinase,0.153290396807
124211,"5,2'-Dihydroxy-6,7,8,6'-tetramethoxyflavone",COC1=CC=CC(=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)OC)OC)OC)O)O,Ornithine decarboxylase,ODC1,P11926,Lyase,0.145250660164
124211,"5,2'-Dihydroxy-6,7,8,6'-tetramethoxyflavone",COC1=CC=CC(=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)OC)OC)OC)O)O,Adenosine A1 receptor   (by homology),ADORA1,P30542,Family A G protein-coupled receptor,0.145250660164
124211,"5,2'-Dihydroxy-6,7,8,6'-tetramethoxyflavone",COC1=CC=CC(=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)OC)OC)OC)O)O,Adenosine A2a receptor   (by homology),ADORA2A,P29274,Family A G protein-coupled receptor,0.13728888346
124211,"5,2'-Dihydroxy-6,7,8,6'-tetramethoxyflavone",COC1=CC=CC(=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)OC)OC)OC)O)O,ATP-binding cassette sub-family G member 2,ABCG2,Q9UNQ0,Primary active transporter,0.129284219584
124211,"5,2'-Dihydroxy-6,7,8,6'-tetramethoxyflavone",COC1=CC=CC(=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)OC)OC)OC)O)O,Cyclooxygenase-2,PTGS2,P35354,Oxidoreductase,0.12128700335
124211,"5,2'-Dihydroxy-6,7,8,6'-tetramethoxyflavone",COC1=CC=CC(=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)OC)OC)OC)O)O,Adenosine A3 receptor,ADORA3,P0DMS8,Family A G protein-coupled receptor,0.12128700335
124211,"5,2'-Dihydroxy-6,7,8,6'-tetramethoxyflavone",COC1=CC=CC(=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)OC)OC)OC)O)O,P-glycoprotein 1,ABCB1,P08183,Primary active transporter,0.12128700335
124211,"5,2'-Dihydroxy-6,7,8,6'-tetramethoxyflavone",COC1=CC=CC(=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)OC)OC)OC)O)O,Induced myeloid leukemia cell differentiation protein Mcl-1,MCL1,Q07820,Other cytosolic protein,0.12128700335
124211,"5,2'-Dihydroxy-6,7,8,6'-tetramethoxyflavone",COC1=CC=CC(=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)OC)OC)OC)O)O,Mu opioid receptor   (by homology),OPRM1,P35372,Family A G protein-coupled receptor,0.113285953487
124211,"5,2'-Dihydroxy-6,7,8,6'-tetramethoxyflavone",COC1=CC=CC(=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)OC)OC)OC)O)O,Delta opioid receptor   (by homology),OPRD1,P41143,Family A G protein-coupled receptor,0.113285953487
124211,"5,2'-Dihydroxy-6,7,8,6'-tetramethoxyflavone",COC1=CC=CC(=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)OC)OC)OC)O)O,Plasminogen,PLG,P00747,Protease,0.113285953487
124211,"5,2'-Dihydroxy-6,7,8,6'-tetramethoxyflavone",COC1=CC=CC(=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)OC)OC)OC)O)O,Arachidonate 5-lipoxygenase,ALOX5,P09917,Oxidoreductase,0.113285953487
124211,"5,2'-Dihydroxy-6,7,8,6'-tetramethoxyflavone",COC1=CC=CC(=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)OC)OC)OC)O)O,"Nitric oxide synthase, inducible   (by homology)",NOS2,P35228,Enzyme,0.113285953487
124211,"5,2'-Dihydroxy-6,7,8,6'-tetramethoxyflavone",COC1=CC=CC(=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)OC)OC)OC)O)O,NADPH oxidase 4,NOX4,Q9NPH5,Enzyme,0.113285953487
124211,"5,2'-Dihydroxy-6,7,8,6'-tetramethoxyflavone",COC1=CC=CC(=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)OC)OC)OC)O)O,G-protein coupled receptor 35,GPR35,Q9HC97,Family A G protein-coupled receptor,0.113285953487
124211,"5,2'-Dihydroxy-6,7,8,6'-tetramethoxyflavone",COC1=CC=CC(=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)OC)OC)OC)O)O,Carbonic anhydrase VII,CA7,P43166,Lyase,0.113285953487
124211,"5,2'-Dihydroxy-6,7,8,6'-tetramethoxyflavone",COC1=CC=CC(=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)OC)OC)OC)O)O,Carbonic anhydrase XII,CA12,O43570,Lyase,0.113285953487
124211,"5,2'-Dihydroxy-6,7,8,6'-tetramethoxyflavone",COC1=CC=CC(=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)OC)OC)OC)O)O,Estrogen receptor beta,ESR2,Q92731,Nuclear receptor,0.113285953487
124211,"5,2'-Dihydroxy-6,7,8,6'-tetramethoxyflavone",COC1=CC=CC(=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)OC)OC)OC)O)O,Tyrosine-protein kinase receptor FLT3,FLT3,P36888,Kinase,0.113285953487
124211,"5,2'-Dihydroxy-6,7,8,6'-tetramethoxyflavone",COC1=CC=CC(=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)OC)OC)OC)O)O,Butyrylcholinesterase,BCHE,P06276,Hydrolase,0.113285953487
124211,"5,2'-Dihydroxy-6,7,8,6'-tetramethoxyflavone",COC1=CC=CC(=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)OC)OC)OC)O)O,Receptor-type tyrosine-protein phosphatase S,PTPRS,Q13332,Phosphatase,0.113285953487
124211,"5,2'-Dihydroxy-6,7,8,6'-tetramethoxyflavone",COC1=CC=CC(=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)OC)OC)OC)O)O,DNA-3-methyladenine glycosylase,MPG,P29372,Enzyme,0.113285953487
124211,"5,2'-Dihydroxy-6,7,8,6'-tetramethoxyflavone",COC1=CC=CC(=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)OC)OC)OC)O)O,Telomerase reverse transcriptase,TERT,O14746,Enzyme,0.113285953487
124211,"5,2'-Dihydroxy-6,7,8,6'-tetramethoxyflavone",COC1=CC=CC(=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)OC)OC)OC)O)O,Estradiol 17-beta-dehydrogenase 2,HSD17B2,P37059,Enzyme,0.113285953487
124211,"5,2'-Dihydroxy-6,7,8,6'-tetramethoxyflavone",COC1=CC=CC(=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)OC)OC)OC)O)O,Estradiol 17-beta-dehydrogenase 1,HSD17B1,P14061,Enzyme,0.113285953487
124211,"5,2'-Dihydroxy-6,7,8,6'-tetramethoxyflavone",COC1=CC=CC(=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)OC)OC)OC)O)O,Beta amyloid A4 protein,APP,P05067,Membrane receptor,0.113285953487
