CM_Name,Pubchem_CID,SMILES,Target,Common name,Uniprot ID,Target Class,Probability*
Thyroxine,5819,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(C(=O)O)N,Bile acid receptor,NR1H4,Q96RI1,Nuclear receptor,1.0
Thyroxine,5819,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(C(=O)O)N,Peroxisome proliferator-activated receptor gamma,PPARG,P37231,Nuclear receptor,1.0
Thyroxine,5819,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(C(=O)O)N,Retinoic acid receptor RXR-alpha,RXRA,P19793,Nuclear receptor,1.0
Thyroxine,5819,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(C(=O)O)N,Thyroid hormone receptor beta,THRB,P10828,Nuclear receptor,1.0
Thyroxine,5819,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(C(=O)O)N,Thyroid hormone receptor alpha,THRA,P10827,Nuclear receptor,1.0
Thyroxine,5819,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(C(=O)O)N,Transthyretin,TTR,P02766,Secreted protein,1.0
Thyroxine,5819,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(C(=O)O)N,Adenosine receptor A1,ADORA1,P30542,Family A G protein-coupled receptor,0.9972863874522384
Thyroxine,5819,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(C(=O)O)N,Proliferating cell nuclear antigen,PCNA,P12004,Other nuclear protein,0.9972863874522384
Thyroxine,5819,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(C(=O)O)N,Prothrombin,F2,P00734,Protease,0.9972863874522384
Thyroxine,5819,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(C(=O)O)N,DNA ligase 1,LIG1,P18858,Ligase,0.8178924115469922
Thyroxine,5819,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(C(=O)O)N,Tyrosine 3-monooxygenase,TH,P07101,Oxidoreductase,0.344951418926106
Thyroxine,5819,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(C(=O)O)N,Integrin alpha-V/beta-3,,P05106&P06756,Membrane receptor,0.3193622507198455
Thyroxine,5819,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(C(=O)O)N,"NAD-dependent protein deacylase sirtuin-5, mitochondrial",SIRT5,Q9NXA8,Eraser,0.2766378333880926
Thyroxine,5819,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(C(=O)O)N,Trace amine-associated receptor 5,TAAR5,O14804,Family A G protein-coupled receptor,0.2590354344782314
Thyroxine,5819,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(C(=O)O)N,Hepatic sodium/bile acid cotransporter,SLC10A1,Q14973,Electrochemical transporter,0.1831674154586904
