"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significant"
"C19orf59",4.28448911844444,10.2654014534831,22.4096988814254,5.18994942593061e-31,1.30475328567896e-26,59.6717697864858,"Up"
"FCER1G",2.06146050257791,12.3113099304586,16.7992887211418,1.78817180110436e-24,1.46406219466967e-20,45.239334720666,"Up"
"MXD4",-1.51321610322554,9.48666610288942,-16.7207766108134,2.26007931660634e-24,1.46406219466967e-20,45.0121309910428,"Down"
"SPOCK2",-2.79132591485022,10.3915236394207,-16.7060005160204,2.36211617645878e-24,1.46406219466967e-20,44.9692857645791,"Down"
"HIST2H2AC",2.0788475465186,9.62286346742831,16.6361069273432,2.91181820737802e-24,1.46406219466967e-20,44.7662537274511,"Up"
"S100A12",3.01368609196873,11.5418867466445,16.4951178161077,4.44843400454488e-24,1.86389384790431e-20,44.3548515586422,"Up"
"TLR5",2.4456970198752,9.12032499948736,16.0915428314193,1.51582429795148e-23,5.44397469292859e-20,43.1634675506469,"Up"
"LILRA5",1.5306021767275,11.0513959449635,16.0218690002439,1.87681842483445e-23,5.89790190004227e-20,42.9557033844703,"Up"
"RUNX3",-2.18428062597143,9.24771600780772,-15.9824434071448,2.11851175220839e-23,5.91770949450212e-20,42.8378647434471,"Down"
"EVL",-1.93235433650904,9.8245737622772,-15.8291616270733,3.39889676601011e-23,7.99170795624409e-20,42.3778397153807,"Down"
"CARD11",-1.8384983143254,7.96916864484289,-15.8199859352351,3.49676959103759e-23,7.99170795624409e-20,42.3502066203604,"Down"
"HK3",2.57118521339859,9.34669100901726,15.7424543182085,4.44651758124678e-23,9.31545433271201e-20,42.1162850973417,"Up"
"ETS1",-2.2966708881672,10.9727203395079,-15.4472608631751,1.11747412799829e-22,2.16102304445207e-19,41.2185711580885,"Down"
"LOC440731",1.7292383114282,7.95062376585891,15.3688079182617,1.43014682578895e-22,2.56813508573816e-19,40.9780912086434,"Up"
"CD7",-2.10098161786011,9.57531458849016,-15.0686289211161,3.70148935622474e-22,6.20369616103267e-19,40.0505547723306,"Down"
