Rank,Gene,Subgragh,Degree,Eigenvector,Information,LAC,Betweenness,Closeness,Network
1,AKT1,5060.184,21.0,0.37046057,4.837867,6.6666665,150.91508,0.8181818,19.117367
2,BCL2,4311.2793,18.0,0.3419428,4.686759,6.6666665,95.744446,0.75,14.890743
3,MMP9,3747.7866,16.0,0.31875855,4.5637774,6.875,65.08572,0.6923077,13.796753
4,PTGS2,3321.541,15.0,0.30007485,4.4937644,6.266667,71.17937,0.6923077,11.168507
5,MAPK14,2909.5881,13.0,0.2808444,4.332354,6.4615383,29.304762,0.627907,10.439935
6,PTPRC,2572.9622,12.0,0.26407748,4.2386627,6.1666665,24.704762,0.627907,9.271428
7,PPARG,2179.6943,11.0,0.24301101,4.134352,5.6363635,62.668255,0.6136364,7.2988095
8,CASP1,2031.479,9.0,0.23464337,3.885728,6.6666665,3.0190477,0.5744681,7.832143
9,SIRT1,1548.4102,8.0,0.20479095,3.7359507,5.5,9.55,0.5625,6.642857
10,PGR,1328.379,8.0,0.18963365,3.7359507,4.25,12.576191,0.5510204,5.385714
11,MME,1124.7451,8.0,0.17436145,3.7359507,4.0,9.333333,0.5510204,5.2714286
12,ADAM17,939.2465,6.0,0.15944068,3.3653274,3.6666667,7.4873013,0.5294118,4.7
13,PTGER4,850.4223,5.0,0.15175177,3.132275,4.0,0.0,0.5192308,5.0
14,CTSD,754.0814,6.0,0.14277351,3.3653274,3.0,11.610317,0.5510204,3.6
15,GSTP1,667.7969,5.0,0.1343588,3.132275,3.2,1.35,0.5192308,4.0
16,FYN,632.0983,5.0,0.13063683,3.132275,3.6,0.9,0.509434,4.5
17,AKR1B1,524.6114,6.0,0.11888556,3.3653274,2.0,21.596031,0.5294118,2.5
18,CA9,509.91315,5.0,0.11725682,3.132275,2.4,21.23492,0.5294118,3.0
19,LCK,500.65097,6.0,0.1160476,3.3653274,2.3333333,37.40238,0.5294118,3.0833333
20,ANPEP,475.81747,5.0,0.113234945,3.132275,2.4,4.7833333,0.509434,3.0
