source	target	combined_score	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining
PTPRC	LCK	0.999	0.0	0	0.0	0.28	0.848	0.9	0.993
FYN	LCK	0.998	0.0	0	0.063	0.162	0.292	0.9	0.981
SIRT1	PPARG	0.998	0.0	0	0.0	0.0	0.345	0.9	0.981
BCL2	AKT1	0.993	0.0	0	0.0	0.0	0.0	0.9	0.934
MAPK14	AKT1	0.99	0.0	0	0.119	0.246	0.739	0.9	0.535
FYN	PTPRC	0.988	0.0	0	0.0	0.142	0.333	0.9	0.82
MAPK14	CDC25B	0.951	0.0	0	0.0	0.049	0.399	0.9	0.252
CTSD	BCL2	0.949	0.0	0	0.0	0.0	0.0	0.9	0.514
MAPK14	PGR	0.92	0.0	0	0.0	0.055	0.0	0.9	0.221
ANPEP	MME	0.898	0.043	0	0.0	0.089	0.0	0.0	0.893
PTGER4	PTGS2	0.895	0.0	0	0.0	0.138	0.0	0.0	0.883
SIRT1	AKT1	0.873	0.0	0	0.0	0.049	0.294	0.0	0.827
FYN	AKT1	0.834	0.0	0	0.161	0.078	0.129	0.5	0.584
MMP9	AKT1	0.827	0.0	0	0.0	0.086	0.0	0.0	0.819
MAPK14	ADAM17	0.82	0.0	0	0.0	0.049	0.0	0.75	0.307
BCL2	CASP1	0.817	0.0	0	0.0	0.067	0.125	0.0	0.794
PTGS2	MMP9	0.815	0.0	0	0.0	0.176	0.0	0.0	0.785
MMP9	BCL2	0.804	0.0	0	0.0	0.087	0.0	0.0	0.794
AKT1	LCK	0.799	0.0	0	0.155	0.078	0.045	0.5	0.543
SIRT1	APEX1	0.797	0.061	0	0.0	0.044	0.311	0.0	0.71
BCL2	MME	0.793	0.0	0	0.0	0.053	0.0	0.0	0.791
PPARG	AKT1	0.79	0.0	0	0.0	0.084	0.071	0.0	0.773
ANPEP	PTPRC	0.788	0.0	0	0.0	0.103	0.0	0.0	0.774
PTGS2	AKT1	0.775	0.0	0	0.0	0.078	0.0	0.0	0.767
PTPRC	MME	0.775	0.0	0	0.0	0.062	0.0	0.0	0.77
MAPK14	PTGS2	0.774	0.0	0	0.0	0.109	0.045	0.0	0.756
PPARG	MMP9	0.765	0.0	0	0.0	0.0	0.0	0.0	0.765
MAPK14	FYN	0.749	0.0	0	0.0	0.0	0.11	0.5	0.482
PTGS2	BCL2	0.745	0.0	0	0.0	0.0	0.0	0.0	0.745
SIRT1	BCL2	0.744	0.0	0	0.0	0.058	0.0	0.0	0.739
PPARG	PTGS2	0.735	0.0	0	0.0	0.063	0.0	0.0	0.729
MMP9	PTPRC	0.711	0.0	0	0.0	0.168	0.0	0.0	0.667
BCHE	F2	0.706	0.0	0	0.0	0.134	0.052	0.0	0.67
