name	string_id	connected_in_network	type
ADAM17	9606.ENSP00000309968	True	Shared target
AKR1B1	9606.ENSP00000285930	True	Shared target
AKT1	9606.ENSP00000451828	True	Shared target
ANPEP	9606.ENSP00000300060	True	Shared target
APEX1	9606.ENSP00000216714	True	Shared target
BCHE	9606.ENSP00000264381	True	Shared target
BCL2	9606.ENSP00000381185	True	Shared target
CA1	9606.ENSP00000430656	True	Shared target
CA9	9606.ENSP00000367608	True	Shared target
CASP1	9606.ENSP00000433138	True	Shared target
CDC25B	9606.ENSP00000245960	True	Shared target
CES1	9606.ENSP00000353720	False	Shared target
CTSD	9606.ENSP00000236671	True	Shared target
EPHX2	9606.ENSP00000430269	True	Shared target
F2	9606.ENSP00000308541	True	Shared target
FUCA1	9606.ENSP00000363603	False	Shared target
FYN	9606.ENSP00000346671	True	Shared target
GPBAR1	9606.ENSP00000430886	True	Shared target
GSTP1	9606.ENSP00000381607	True	Shared target
LCK	9606.ENSP00000477713	True	Shared target
MAPK14	9606.ENSP00000229795	True	Shared target
MME	9606.ENSP00000418525	True	Shared target
MMP8	9606.ENSP00000236826	True	Shared target
MMP9	9606.ENSP00000361405	True	Shared target
PGR	9606.ENSP00000325120	True	Shared target
PPARG	9606.ENSP00000287820	True	Shared target
PTGER4	9606.ENSP00000302846	True	Shared target
PTGS2	9606.ENSP00000356438	True	Shared target
PTPRC	9606.ENSP00000411355	True	Shared target
SIRT1	9606.ENSP00000212015	True	Shared target
