"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005637","nuclear inner membrane","2/9","56/19944",0.0357142857142857,79.1428571428571,12.4421697884624,0.000275271081626455,0.00861602825321044,0.00480150181293461,"PTGS2/SIRT1",2
"GO:0031965","nuclear membrane","3/9","326/19944",0.00920245398773006,20.3926380368098,7.50113023408944,0.000337883460910213,0.00861602825321044,0.00480150181293461,"BCL2/PTGS2/SIRT1",3
"GO:1904813","ficolin-1-rich granule lumen","2/9","125/19944",0.016,35.456,8.21083596187929,0.00136308589430139,0.0231724602031236,0.0129134453144342,"MAPK14/MMP9",2
"GO:0101002","ficolin-1-rich granule","2/9","186/19944",0.010752688172043,23.8279569892473,6.64600106474898,0.00298310393252731,0.0354538295232859,0.0197575520563203,"MAPK14/MMP9",2
"GO:0097136","Bcl-2 family protein complex","1/9","10/19944",0.1,221.6,14.8257495888278,0.00450449704038847,0.0354538295232859,0.0197575520563203,"BCL2",1
"GO:1904090","peptidase inhibitor complex","1/9","11/19944",0.0909090909090909,201.454545454545,14.1297441215949,0.00495395322212,0.0354538295232859,0.0197575520563203,"CASP1",1
"GO:0031968","organelle outer membrane","2/9","262/19944",0.00763358778625954,16.9160305343511,5.51009612033645,0.00582354100165109,0.0354538295232859,0.0197575520563203,"BCL2/PTGS2",2
"GO:0019867","outer membrane","2/9","264/19944",0.00757575757575758,16.7878787878788,5.48683094274112,0.00591018824240738,0.0354538295232859,0.0197575520563203,"BCL2/PTGS2",2
"GO:0005677","chromatin silencing complex","1/9","14/19944",0.0714285714285714,158.285714285714,12.5085804698854,0.00630123970008833,0.0354538295232859,0.0197575520563203,"SIRT1",1
"GO:0035098","ESC/E(Z) complex","1/9","16/19944",0.0625,138.5,11.6906648854191,0.00719852959598155,0.0354538295232859,0.0197575520563203,"SIRT1",1
"GO:0061702","canonical inflammasome complex","1/9","17/19944",0.0588235294117647,130.352941176471,11.3367400287001,0.00764690440698323,0.0354538295232859,0.0197575520563203,"CASP1",1
"GO:0046930","pore complex","1/9","26/19944",0.0384615384615385,85.2307692307692,9.1315175091297,0.0116741849776273,0.049615286154916,0.0276493854733278,"BCL2",1
