"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:2001233","regulation of apoptotic signaling pathway","7/9","406/18860",0.0172413793103448,36.1302681992337,15.6355301846447,7.06087789191936e-11,1.1473926574369e-07,2.66826859284111e-08,"AKT1/BCL2/MMP9/PPARG/PTGS2/PTPRC/SIRT1",7
"BP","GO:2001243","negative regulation of intrinsic apoptotic signaling pathway","5/9","115/18860",0.0434782608695652,91.1111111111111,21.1786333027928,9.54222295769564e-10,7.75305615312771e-07,1.80297791674354e-07,"AKT1/BCL2/MMP9/PTGS2/SIRT1",5
"BP","GO:0045598","regulation of fat cell differentiation","5/9","148/18860",0.0337837837837838,70.7957957957958,18.6257343661483,3.41619747645536e-09,1.85044029974665e-06,4.30321015455254e-07,"AKT1/MAPK14/PPARG/PTGS2/SIRT1",5
"BP","GO:0009411","response to UV","5/9","159/18860",0.0314465408805031,65.8979734451433,17.9560444038546,4.90276432689505e-09,1.99174800780111e-06,4.63182208777716e-07,"AKT1/BCL2/MAPK14/MMP9/SIRT1",5
"BP","GO:0036294","cellular response to decreased oxygen levels","5/9","167/18860",0.029940119760479,62.7411842980705,17.5108439009149,6.27700686765185e-09,2.04002723198685e-06,4.74409571681477e-07,"AKT1/BCL2/PPARG/PTGS2/SIRT1",5
"BP","GO:0071453","cellular response to oxygen levels","5/9","183/18860",0.0273224043715847,57.2556162720097,16.7090308327924,9.94265145776207e-09,2.69280143647723e-06,6.26212609357295e-07,"AKT1/BCL2/PPARG/PTGS2/SIRT1",5
"BP","GO:2001242","regulation of intrinsic apoptotic signaling pathway","5/9","195/18860",0.0256410256410256,53.7321937321937,16.1730725886556,1.36765191917292e-08,2.98124616594995e-06,6.93290606365041e-07,"AKT1/BCL2/MMP9/PTGS2/SIRT1",5
"BP","GO:0050727","regulation of inflammatory response","6/9","460/18860",0.0130434782608696,27.3333333333333,12.4936469453059,1.60894494276e-08,2.98124616594995e-06,6.93290606365041e-07,"CASP1/MAPK14/MMP9/PPARG/PTGS2/PTPRC",6
"BP","GO:0009314","response to radiation","6/9","462/18860",0.012987012987013,27.2150072150072,12.4651942409468,1.65115172267997e-08,2.98124616594995e-06,6.93290606365041e-07,"AKT1/BCL2/MAPK14/MMP9/PTPRC/SIRT1",6
"BP","GO:0045600","positive regulation of fat cell differentiation","4/9","72/18860",0.0555555555555556,116.41975308642,21.4397393714061,2.42441575628856e-08,3.93967560396892e-06,9.16173954218521e-07,"AKT1/MAPK14/PPARG/PTGS2",4
"BP","GO:2001234","negative regulation of apoptotic signaling pathway","5/9","245/18860",0.0204081632653061,42.766439909297,14.3777976975049,4.28912948168674e-08,6.33621400703723e-06,1.47349041523975e-06,"AKT1/BCL2/MMP9/PTGS2/SIRT1",5
"BP","GO:0045444","fat cell differentiation","5/9","259/18860",0.0193050193050193,40.4547404547405,13.9699327264302,5.6613696917884e-08,7.66643812429679e-06,1.78283484153687e-06,"AKT1/MAPK14/PPARG/PTGS2/SIRT1",5
"BP","GO:0019217","regulation of fatty acid metabolic process","4/9","115/18860",0.0347826086956522,72.8888888888889,16.8959010442749,1.61433563822716e-07,1.99547711573572e-05,4.6404941509255e-06,"AKT1/PPARG/PTGS2/SIRT1",4
"BP","GO:0090335","regulation of brown fat cell differentiation","3/9","25/18860",0.12,251.466666666667,27.3810763556057,1.71918028432616e-07,1.99547711573572e-05,4.6404941509255e-06,"MAPK14/PTGS2/SIRT1",3
"BP","GO:0036293","response to decreased oxygen levels","5/9","330/18860",0.0151515151515152,31.7508417508418,12.3137308556138,1.89287428654626e-07,2.05061381042512e-05,4.76871486926391e-06,"AKT1/BCL2/PPARG/PTGS2/SIRT1",5
"BP","GO:0097193","intrinsic apoptotic signaling pathway","5/9","335/18860",0.0149253731343284,31.2769485903814,12.2171185150729,2.0397890992501e-07,2.07166080392588e-05,4.81765978046569e-06,"AKT1/BCL2/MMP9/PTGS2/SIRT1",5
"BP","GO:0009416","response to light stimulus","5/9","341/18860",0.0146627565982405,30.7266210492017,12.1039566263842,2.22790313960252e-07,2.12961329520829e-05,4.95242865088115e-06,"AKT1/BCL2/MAPK14/MMP9/SIRT1",5
"BP","GO:0071214","cellular response to abiotic stimulus","5/9","355/18860",0.0140845070422535,29.5148669796557,11.8509828609119,2.72071321002968e-07,2.27310133719177e-05,5.2861109638986e-06,"CASP1/MAPK14/MMP9/PTGS2/SIRT1",5
"BP","GO:0104004","cellular response to environmental stimulus","5/9","355/18860",0.0140845070422535,29.5148669796557,11.8509828609119,2.72071321002968e-07,2.27310133719177e-05,5.2861109638986e-06,"CASP1/MAPK14/MMP9/PTGS2/SIRT1",5
"BP","GO:0070482","response to oxygen levels","5/9","357/18860",0.0140056022408964,29.3495175848117,11.8160438756183,2.79766318423603e-07,2.27310133719177e-05,5.2861109638986e-06,"AKT1/BCL2/PPARG/PTGS2/SIRT1",5
"BP","GO:0010212","response to ionizing radiation","4/9","145/18860",0.0275862068965517,57.8084291187739,15.0042832407967,4.09895451889654e-07,3.17181004438423e-05,7.37606352021984e-06,"BCL2/MAPK14/PTPRC/SIRT1",4
"BP","GO:0010565","regulation of ketone metabolic process","4/9","149/18860",0.0268456375838926,56.2565249813572,14.7959069782995,4.57157638927173e-07,3.37673256025753e-05,7.85261207535193e-06,"AKT1/PPARG/PTGS2/SIRT1",4
"BP","GO:0043535","regulation of blood vessel endothelial cell migration","4/9","159/18860",0.0251572327044025,52.7183787561146,14.309499297773,5.93061863227337e-07,3.95290241856413e-05,9.19249857985115e-06,"AKT1/PPARG/PTGS2/SIRT1",4
"BP","GO:0071456","cellular response to hypoxia","4/9","159/18860",0.0251572327044025,52.7183787561146,14.309499297773,5.93061863227337e-07,3.95290241856413e-05,9.19249857985115e-06,"BCL2/PPARG/PTGS2/SIRT1",4
"BP","GO:0001890","placenta development","4/9","160/18860",0.025,52.3888888888889,14.2633586941624,6.0813883362525e-07,3.95290241856413e-05,9.19249857985115e-06,"AKT1/MAPK14/PPARG/PTGS2",4
"BP","GO:0006631","fatty acid metabolic process","5/9","421/18860",0.0118764845605701,24.8878332013724,10.8308492700331,6.33486290248098e-07,3.95928931405061e-05,9.20735134409179e-06,"AKT1/MAPK14/PPARG/PTGS2/SIRT1",5
"BP","GO:0062013","positive regulation of small molecule metabolic process","4/9","167/18860",0.0239520958083832,50.1929474384564,13.9519517387625,7.21826187556742e-07,4.34432427696187e-05,1.01027524886109e-05,"AKT1/PPARG/PTGS2/SIRT1",4
"BP","GO:0150077","regulation of neuroinflammatory response","3/9","46/18860",0.0652173913043478,136.666666666667,20.1291246275802,1.12898150536528e-06,6.35661195726714e-05,1.47823397095314e-05,"MMP9/PTGS2/PTPRC",3
