"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","6/9","216/9399",0.0277777777777778,29.0092592592593,12.8926557272744,1.09039733757025e-08,1.62469203297967e-06,6.5423840254215e-07,"AKT1/BCL2/CASP1/MAPK14/MMP9/PPARG",6
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","5/9","157/9399",0.0318471337579618,33.2590233545648,12.6189795917288,1.45686780639705e-07,1.0853665157658e-05,4.37060341919115e-06,"CASP1/MAPK14/PPARG/PTGS2/SIRT1",5
"Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","4/9","99/9399",0.0404040404040404,42.1952861952862,12.7564498587477,1.40151264263462e-06,5.28889255289657e-05,2.12975539042815e-05,"AKT1/BCL2/MAPK14/MMP9",4
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","5/9","248/9399",0.0201612903225806,21.0551075268817,9.90883818986513,1.4198369269521e-06,5.28889255289657e-05,2.12975539042815e-05,"AKT1/BCL2/CASP1/MAPK14/PTPRC",5
"Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","4/9","105/9399",0.0380952380952381,39.784126984127,12.3723875269286,1.77515157406392e-06,5.28995169071047e-05,2.1301818888767e-05,"AKT1/CASP1/MAPK14/PTGS2",4
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","4/9","119/9399",0.0336134453781513,35.1036414565826,11.5906135315379,2.93115755724548e-06,7.27904126715962e-05,2.93115755724548e-05,"AKT1/MAPK14/MMP9/PTGS2",4
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","4/9","142/9399",0.028169014084507,29.4178403755869,10.5634623738251,5.9336875616746e-06,0.000126302778098502,5.0860179100068e-05,"AKT1/BCL2/MAPK14/MMP9",4
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","4/9","163/9399",0.0245398773006135,25.6278118609407,9.8193750061902,1.02659223028803e-05,0.000191202802891145,7.69944172716021e-05,"AKT1/BCL2/MAPK14/MMP9",4
"Environmental Information Processing","Signal transduction","hsa04370","VEGF signaling pathway","3/9","60/9399",0.05,52.2166666666667,12.3209140024354,2.02175250308752e-05,0.00033471235884449,0.000134783500205835,"AKT1/MAPK14/PTGS2",3
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","4/9","253/9399",0.0158102766798419,16.5111989459816,7.74276733355504,5.80760025137612e-05,0.000865332437455042,0.000348456015082567,"AKT1/BCL2/CASP1/MAPK14",4
"Organismal Systems","Aging","hsa04211","Longevity regulating pathway","3/9","90/9399",0.0333333333333333,34.8111111111111,9.97781302533776,6.84142944024282e-05,0.000892970509408511,0.000359585440030273,"AKT1/PPARG/SIRT1",3
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","3/9","93/9399",0.032258064516129,33.6881720430108,9.80746493744702,7.54599961791932e-05,0.000892970509408511,0.000359585440030273,"AKT1/BCL2/PTGS2",3
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","3/9","94/9399",0.0319148936170213,33.3297872340425,9.75247315377701,7.79101786732258e-05,0.000892970509408511,0.000359585440030273,"MAPK14/MMP9/PTGS2",3
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","3/9","101/9399",0.0297029702970297,31.019801980198,9.39030974735335,9.65358337068957e-05,0.0010274170873091,0.000413725001600981,"AKT1/BCL2/MAPK14",3
"Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","3/9","106/9399",0.0283018867924528,29.5566037735849,9.15351080824333,0.000111484563128008,0.00110741332707154,0.000445938252512031,"AKT1/BCL2/MMP9",3
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","3/9","112/9399",0.0267857142857143,27.9732142857143,8.8901721362797,0.000131330214888265,0.00122301262614696,0.000492488305830992,"AKT1/BCL2/MAPK14",3
"Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","4/9","323/9399",0.0123839009287926,12.9329205366357,6.75626919380798,0.000150440738070447,0.00126130668925466,0.000507908733928052,"BCL2/MMP9/PTGS2/SIRT1",4
"Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","3/9","120/9399",0.025,26.1083333333333,8.56967003436835,0.000161200683871813,0.00126130668925466,0.000507908733928052,"AKT1/BCL2/MAPK14",3
"Environmental Information Processing","Signal transduction","hsa04152","AMPK signaling pathway","3/9","122/9399",0.0245901639344262,25.6803278688525,8.49441042127214,0.000169302911309351,0.00126130668925466,0.000507908733928052,"AKT1/PPARG/SIRT1",3
"Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","3/9","122/9399",0.0245901639344262,25.6803278688525,8.49441042127214,0.000169302911309351,0.00126130668925466,0.000507908733928052,"AKT1/MAPK14/PTPRC",3
