name,type,type_name,degree
"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3,4-dihydro-2H-1-benzopyran-4-one",3,Ingredient,10
"5,2'-Dihydroxy-6,7,8,6'-tetramethoxyflavone",3,Ingredient,10
"5,7-dihydroxy-2-phenyl-4H-chromen-4-one",3,Ingredient,10
Apigenin,3,Ingredient,10
Pelargonidin,3,Ingredient,10
Scoparone,3,Ingredient,10
"4',7-Dihydroxyflavanone",3,Ingredient,9
Tangeritin,3,Ingredient,9
Hesperetin,3,Ingredient,8
"3,5-Dimethoxybenzoic acid",3,Ingredient,7
Berberine,3,Ingredient,6
Oxymatrine,3,Ingredient,6
Sinapine,3,Ingredient,6
Azelaic acid,3,Ingredient,5
Naringenin chalcone,3,Ingredient,5
Vanillin,3,Ingredient,5
"7,8-dimethoxy-11-methyl-17,19-dioxa-11-azatetracyclo[12.7.0.04,9.016,20]henicosa-1(21),4(9),5,7,14,16(20)-hexaen-2-one",3,Ingredient,4
D-(+)-Tryptophan,3,Ingredient,4
Daidzein,3,Ingredient,4
L-Phenylalanine,3,Ingredient,4
L-Tyrosine,3,Ingredient,4
Phloroglucinol,3,Ingredient,4
Pyrogallol,3,Ingredient,4
"2,4,6-Trihydroxyacetophenone",3,Ingredient,3
"2-Amino-1,3,4-octadecanetriol",3,Ingredient,3
4-Hydroxybenzaldehyde,3,Ingredient,3
4-Hydroxybenzoic acid,3,Ingredient,3
Biochanin A,3,Ingredient,3
D-(+)-Proline,3,Ingredient,3
Formononetin,3,Ingredient,3
Gallic acid,3,Ingredient,3
Glycitein,3,Ingredient,3
Isoliquiritigenin,3,Ingredient,3
Methoxsalen,3,Ingredient,3
Nobiletin,3,Ingredient,3
Psoralen,3,Ingredient,3
5-Hydroxymethyl-2-furaldehyde,3,Ingredient,2
