source	interaction	target
HQQD	connects	5,2'-Dihydroxy-6,7,8,6'-tetramethoxyflavone
HQQD	connects	Biochanin A
HQQD	connects	Formononetin
HQQD	connects	Tangeritin
HQQD	connects	3,5-Dimethoxybenzoic acid
HQQD	connects	Methoxsalen
HQQD	connects	Berberine
HQQD	connects	Vanillin
HQQD	connects	Scoparone
HQQD	connects	Glycitein
HQQD	connects	Hesperetin
HQQD	connects	Nobiletin
HQQD	connects	7,8-dimethoxy-11-methyl-17,19-dioxa-11-azatetracyclo[12.7.0.04,9.016,20]henicosa-1(21),4(9),5,7,14,16(20)-hexaen-2-one
HQQD	connects	2-Amino-1,3,4-octadecanetriol
HQQD	connects	2,4,6-Trihydroxyacetophenone
HQQD	connects	Oxymatrine
HQQD	connects	D-(+)-Proline
HQQD	connects	2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3,4-dihydro-2H-1-benzopyran-4-one
HQQD	connects	4',7-Dihydroxyflavanone
HQQD	connects	D-(+)-Tryptophan
HQQD	connects	L-Phenylalanine
HQQD	connects	5,7-dihydroxy-2-phenyl-4H-chromen-4-one
HQQD	connects	Psoralen
HQQD	connects	L-Tyrosine
HQQD	connects	Daidzein
HQQD	connects	Apigenin
HQQD	connects	Pelargonidin
HQQD	connects	4-Hydroxybenzaldehyde
HQQD	connects	Isoliquiritigenin
HQQD	connects	4-Hydroxybenzoic acid
HQQD	connects	Naringenin chalcone
HQQD	connects	Pyrogallol
HQQD	connects	5-Hydroxymethyl-2-furaldehyde
HQQD	connects	Phloroglucinol
HQQD	connects	Gallic acid
HQQD	connects	Sinapine
HQQD	connects	Azelaic acid
5,2'-Dihydroxy-6,7,8,6'-tetramethoxyflavone	connects	AKR1B1
5,2'-Dihydroxy-6,7,8,6'-tetramethoxyflavone	connects	PTGS2
5,2'-Dihydroxy-6,7,8,6'-tetramethoxyflavone	connects	BCHE
5,2'-Dihydroxy-6,7,8,6'-tetramethoxyflavone	connects	MMP9
5,2'-Dihydroxy-6,7,8,6'-tetramethoxyflavone	connects	APEX1
5,2'-Dihydroxy-6,7,8,6'-tetramethoxyflavone	connects	CA1
5,2'-Dihydroxy-6,7,8,6'-tetramethoxyflavone	connects	CA9
5,2'-Dihydroxy-6,7,8,6'-tetramethoxyflavone	connects	ADAM17
5,2'-Dihydroxy-6,7,8,6'-tetramethoxyflavone	connects	MMP8
Biochanin A	connects	CA1
Biochanin A	connects	CA9
Formononetin	connects	CA1
Formononetin	connects	CA9
Tangeritin	connects	AKR1B1
Tangeritin	connects	PTGS2
Tangeritin	connects	F2
Tangeritin	connects	MMP9
Tangeritin	connects	APEX1
Tangeritin	connects	CA1
Tangeritin	connects	CA9
Tangeritin	connects	AKT1
3,5-Dimethoxybenzoic acid	connects	CA1
3,5-Dimethoxybenzoic acid	connects	CA9
3,5-Dimethoxybenzoic acid	connects	FYN
3,5-Dimethoxybenzoic acid	connects	LCK
3,5-Dimethoxybenzoic acid	connects	MMP8
3,5-Dimethoxybenzoic acid	connects	AKR1B1
Methoxsalen	connects	CA9
Methoxsalen	connects	CA1
Berberine	connects	BCHE
Berberine	connects	LCK
Berberine	connects	MAPK14
Berberine	connects	PGR
Berberine	connects	PTGS2
Vanillin	connects	CA1
Vanillin	connects	CA9
Vanillin	connects	CDC25B
Vanillin	connects	PTPRC
Scoparone	connects	CA9
Scoparone	connects	CA1
Scoparone	connects	AKR1B1
Scoparone	connects	PTGS2
Scoparone	connects	CES1
Scoparone	connects	PTPRC
Scoparone	connects	MAPK14
Scoparone	connects	CASP1
Scoparone	connects	APEX1
Glycitein	connects	CA1
Glycitein	connects	AKR1B1
Hesperetin	connects	CA1
Hesperetin	connects	CES1
Hesperetin	connects	AKR1B1
Hesperetin	connects	CA9
Hesperetin	connects	MMP9
Hesperetin	connects	PPARG
Hesperetin	connects	BCL2
Nobiletin	connects	AKR1B1
Nobiletin	connects	PTGS2
7,8-dimethoxy-11-methyl-17,19-dioxa-11-azatetracyclo[12.7.0.04,9.016,20]henicosa-1(21),4(9),5,7,14,16(20)-hexaen-2-one	connects	PTGS2
7,8-dimethoxy-11-methyl-17,19-dioxa-11-azatetracyclo[12.7.0.04,9.016,20]henicosa-1(21),4(9),5,7,14,16(20)-hexaen-2-one	connects	SIRT1
7,8-dimethoxy-11-methyl-17,19-dioxa-11-azatetracyclo[12.7.0.04,9.016,20]henicosa-1(21),4(9),5,7,14,16(20)-hexaen-2-one	connects	PGR
2-Amino-1,3,4-octadecanetriol	connects	FUCA1
2-Amino-1,3,4-octadecanetriol	connects	GPBAR1
2,4,6-Trihydroxyacetophenone	connects	CA1
2,4,6-Trihydroxyacetophenone	connects	CA9
Oxymatrine	connects	MMP8
Oxymatrine	connects	BCHE
Oxymatrine	connects	MMP9
Oxymatrine	connects	ADAM17
Oxymatrine	connects	EPHX2
