"SampleID","Group","Batch","Cell_Type","Proportion"
"GSM983407","Bacterial_Pneumonia","GSE40012","B cells naive",0
"GSM983407","Bacterial_Pneumonia","GSE40012","B cells memory",0.065104565059504
"GSM983407","Bacterial_Pneumonia","GSE40012","Plasma cells",0
"GSM983407","Bacterial_Pneumonia","GSE40012","T cells CD8",0
"GSM983407","Bacterial_Pneumonia","GSE40012","T cells CD4 naive",0.0951243552624829
"GSM983407","Bacterial_Pneumonia","GSE40012","T cells CD4 memory resting",0
"GSM983407","Bacterial_Pneumonia","GSE40012","T cells CD4 memory activated",0.00425771562706422
"GSM983407","Bacterial_Pneumonia","GSE40012","T cells follicular helper",0
"GSM983407","Bacterial_Pneumonia","GSE40012","T cells regulatory (Tregs)",0.00945087215530203
"GSM983407","Bacterial_Pneumonia","GSE40012","T cells gamma delta",0.022108994554132
"GSM983407","Bacterial_Pneumonia","GSE40012","NK cells resting",0.00989901187943308
"GSM983407","Bacterial_Pneumonia","GSE40012","NK cells activated",0
"GSM983407","Bacterial_Pneumonia","GSE40012","Monocytes",0.317691032185519
"GSM983407","Bacterial_Pneumonia","GSE40012","Macrophages M0",0.0394790596678868
"GSM983407","Bacterial_Pneumonia","GSE40012","Macrophages M1",0
"GSM983407","Bacterial_Pneumonia","GSE40012","Macrophages M2",0
"GSM983407","Bacterial_Pneumonia","GSE40012","Dendritic cells resting",0
"GSM983407","Bacterial_Pneumonia","GSE40012","Dendritic cells activated",0.00722062294015111
"GSM983407","Bacterial_Pneumonia","GSE40012","Mast cells resting",0.0306618261937983
"GSM983407","Bacterial_Pneumonia","GSE40012","Mast cells activated",0
"GSM983407","Bacterial_Pneumonia","GSE40012","Eosinophils",0
"GSM983407","Bacterial_Pneumonia","GSE40012","Neutrophils",0.399001944474727
"GSM983416","Bacterial_Pneumonia","GSE40012","B cells naive",0
"GSM983416","Bacterial_Pneumonia","GSE40012","B cells memory",0
"GSM983416","Bacterial_Pneumonia","GSE40012","Plasma cells",0
"GSM983416","Bacterial_Pneumonia","GSE40012","T cells CD8",0
"GSM983416","Bacterial_Pneumonia","GSE40012","T cells CD4 naive",0.0754979783664684
"GSM983416","Bacterial_Pneumonia","GSE40012","T cells CD4 memory resting",0
"GSM983416","Bacterial_Pneumonia","GSE40012","T cells CD4 memory activated",0
"GSM983416","Bacterial_Pneumonia","GSE40012","T cells follicular helper",0
"GSM983416","Bacterial_Pneumonia","GSE40012","T cells regulatory (Tregs)",0.00996538112754503
"GSM983416","Bacterial_Pneumonia","GSE40012","T cells gamma delta",0.0196152017199461
"GSM983416","Bacterial_Pneumonia","GSE40012","NK cells resting",0.0325731527323197
"GSM983416","Bacterial_Pneumonia","GSE40012","NK cells activated",0
"GSM983416","Bacterial_Pneumonia","GSE40012","Monocytes",0.419544219200296
"GSM983416","Bacterial_Pneumonia","GSE40012","Macrophages M0",0.00537327390875341
"GSM983416","Bacterial_Pneumonia","GSE40012","Macrophages M1",0
"GSM983416","Bacterial_Pneumonia","GSE40012","Macrophages M2",0.0120479487042778
"GSM983416","Bacterial_Pneumonia","GSE40012","Dendritic cells resting",0
"GSM983416","Bacterial_Pneumonia","GSE40012","Dendritic cells activated",0
"GSM983416","Bacterial_Pneumonia","GSE40012","Mast cells resting",0.0247345176519784
"GSM983416","Bacterial_Pneumonia","GSE40012","Mast cells activated",0
"GSM983416","Bacterial_Pneumonia","GSE40012","Eosinophils",0
"GSM983416","Bacterial_Pneumonia","GSE40012","Neutrophils",0.400648326588415
"GSM983423","Bacterial_Pneumonia","GSE40012","B cells naive",0
"GSM983423","Bacterial_Pneumonia","GSE40012","B cells memory",0.0629712175114912
"GSM983423","Bacterial_Pneumonia","GSE40012","Plasma cells",0
"GSM983423","Bacterial_Pneumonia","GSE40012","T cells CD8",0
"GSM983423","Bacterial_Pneumonia","GSE40012","T cells CD4 naive",0.0776409426033578
"GSM983423","Bacterial_Pneumonia","GSE40012","T cells CD4 memory resting",0
"GSM983423","Bacterial_Pneumonia","GSE40012","T cells CD4 memory activated",0.00475126575041463
"GSM983423","Bacterial_Pneumonia","GSE40012","T cells follicular helper",0
"GSM983423","Bacterial_Pneumonia","GSE40012","T cells regulatory (Tregs)",0.00478434489773297
"GSM983423","Bacterial_Pneumonia","GSE40012","T cells gamma delta",0.0198553203892427
"GSM983423","Bacterial_Pneumonia","GSE40012","NK cells resting",0.0574314285498039
"GSM983423","Bacterial_Pneumonia","GSE40012","NK cells activated",0
"GSM983423","Bacterial_Pneumonia","GSE40012","Monocytes",0.430276028191862
