"Cell_Type","Group1","Group2","Mean_Group1","Mean_Group2","Median_Group1","Median_Group2","P_value","P_adj_BH"
"Monocytes","Bacterial_Pneumonia","Control",0.35862953517741,0.171702086643154,0.361332336638666,0.164564498478731,9.65539383964882e-13,1.73797089113679e-11
"T cells gamma delta","Bacterial_Pneumonia","Control",0.0204943320476928,0,0.0204840840794878,0,5.40370585127601e-11,3.24222351076561e-10
"NK cells resting","Bacterial_Pneumonia","Control",0.0502649594588202,0.168997521737804,0.0429413826444928,0.162381757024863,5.13461321553057e-11,3.24222351076561e-10
"T cells CD8","Bacterial_Pneumonia","Control",0.014301955347788,0.170531137272097,0,0.170271027579123,1.34476208815753e-09,6.05142939670888e-09
"T cells CD4 memory activated","Bacterial_Pneumonia","Control",0.00619847533840166,0.020389101413187,0.00277630872520756,0.0168139190547304,1.99441443057632e-05,7.17989195007477e-05
"Neutrophils","Bacterial_Pneumonia","Control",0.337688357455387,0.259665701075437,0.342811901603273,0.255704489993891,6.60861269467968e-05,0.000198258380840391
"Macrophages M0","Bacterial_Pneumonia","Control",0.0291893043745546,0.0109617798755872,0.0274410224951901,0.00896802419233103,8.7373165729964e-05,0.000224673854734193
"T cells CD4 memory resting","Bacterial_Pneumonia","Control",0.0138077155154427,0.0605333598741615,0,0.0445409565172083,0.00035135263888808,0.00079054343749818
"Dendritic cells activated","Bacterial_Pneumonia","Control",0.00783328735180754,0.00309252282018798,0.00907305580018107,0.00118563758715372,0.00146736133422069,0.00293472266844137
"T cells regulatory (Tregs)","Bacterial_Pneumonia","Control",0.012638873889764,0.0210203368884091,0.0116540649810076,0.0212432714597589,0.0155132749049517,0.027923894828913
"B cells memory","Bacterial_Pneumonia","Control",0.0498479117564777,0.0380851757009175,0.0601592700326825,0.0339838340296843,0.0214623816291402,0.035120260847684
"T cells CD4 naive","Bacterial_Pneumonia","Control",0.0780229228411613,0.0626672458368416,0.0765694604849131,0.0619767652677847,0.0820354750698269,0.12305321260474
"NK cells activated","Bacterial_Pneumonia","Control",0.00346833819278055,0.000138272283256296,0,0,0.104809660353198,0.145121068181351
"Plasma cells","Bacterial_Pneumonia","Control",0.000955947890484923,0,0,0,0.213620730309052,0.274655224683067
"Macrophages M2","Bacterial_Pneumonia","Control",0.000547634032012627,0.00060398322586915,0,0,0.302641652227865,0.363169982673438
"Mast cells resting","Bacterial_Pneumonia","Control",0.0158075330054414,0.0112786732474694,0.0137018359808872,0.010799482658386,0.390377966862573,0.439175212720395
"B cells naive","Bacterial_Pneumonia","Control",0.000302916324572847,0.000323124321361312,0,0,0.419976846365356,0.444681366739789
"Mast cells activated","Bacterial_Pneumonia","Control",0,9.97778425938e-06,0,0,0.45554509378933,0.45554509378933
"T cells follicular helper","Bacterial_Pneumonia","Control",0,0,0,0,NA,NA
"Macrophages M1","Bacterial_Pneumonia","Control",0,0,0,0,NA,NA
"Dendritic cells resting","Bacterial_Pneumonia","Control",0,0,0,0,NA,NA
"Eosinophils","Bacterial_Pneumonia","Control",0,0,0,0,NA,NA
