"Immune_Cell","HubGene","SpearmanR","P_value"
"NK cells resting","AKT1",0.702482389492141,0
"Monocytes","AKT1",-0.772001599557046,0
"NK cells resting","MAPK14",-0.754960164877419,0
"Monocytes","MAPK14",0.764926635700883,0
"NK cells resting","MMP9",-0.710234089021502,0
"Monocytes","MMP9",0.737303515949429,0
"T cells CD8","MMP9",-0.792282306642919,1.28034809919616e-13
"T cells CD8","MAPK14",-0.791285372436141,1.44312321686194e-13
"T cells gamma delta","MAPK14",0.781519670245521,4.50815217167989e-13
"T cells gamma delta","MMP9",0.744576578789842,2.08347886066288e-11
"T cells CD8","BCL2",0.731282394865685,7.08142854593726e-11
"T cells gamma delta","BCL2",-0.720906454324228,1.75207657837009e-10
"T cells CD8","AKT1",0.691841185310027,1.81067908518936e-09
"T cells gamma delta","AKT1",-0.662726615684447,1.4519587852622e-08
"Macrophages M0","MMP9",0.645271122354145,4.54959000754043e-08
"Monocytes","CASP1",0.654249592420561,6.81014062088861e-08
"T cells gamma delta","CASP1",0.620253121316242,2.07122887938379e-07
"Monocytes","BCL2",-0.632778615152727,2.18320560099734e-07
"Neutrophils","MAPK14",0.628718201113538,2.69547706128847e-07
"NK cells resting","CASP1",-0.622443015780246,3.71773785270689e-07
"T cells CD4 memory resting","BCL2",0.596274675421099,7.85607506489606e-07
"Monocytes","SIRT1",-0.564920483558399,5.75543497569217e-06
"Neutrophils","MMP9",0.547202313205574,1.23957262294915e-05
"Neutrophils","BCL2",-0.543018856316712,1.47781437045746e-05
"T cells CD4 memory activated","MAPK14",-0.530401235566837,1.84832302912959e-05
"NK cells resting","SIRT1",0.526100464486758,2.94759782999601e-05
"NK cells resting","BCL2",0.518410286382233,3.99136526148493e-05
"T cells CD8","CASP1",-0.506037572521762,5.06942267466184e-05
"T cells CD4 memory activated","MMP9",-0.498451954791952,6.83446675631558e-05
"T cells CD4 memory activated","AKT1",0.482292279959868,0.000126220374785082
"T cells CD4 memory resting","MAPK14",-0.465825629444355,0.000228713531744415
"NK cells resting","PTGS2",0.460887754160386,0.000316100949567825
"Monocytes","PTGS2",-0.451844104709465,0.000424838080300696
"T cells regulatory (Tregs)","AKT1",0.441668722921846,0.000519026874357943
"T cells CD4 memory activated","CASP1",-0.438377438431455,0.000577665016122062
"Macrophages M0","MAPK14",0.435919913827122,0.000625291785325911
"T cells CD8","SIRT1",0.432762908323573,0.00069167996170006
"Neutrophils","CASP1",0.432649420160571,0.000776323064921139
"NK cells resting","PPARG",-0.428632991623626,0.000788131122079068
"T cells CD4 memory activated","SIRT1",0.427892153235064,0.000806664397847232
"T cells regulatory (Tregs)","MMP9",-0.427270494841084,0.000822518720734808
"T cells CD8","PPARG",-0.425979974826803,0.000856332212217042
"Monocytes","PPARG",0.419302121338155,0.00105216813017321
"Dendritic cells activated","BCL2",-0.399859434871772,0.00187215574452446
"T cells CD4 memory activated","BCL2",0.396189585053035,0.00207936450993459
"Neutrophils","AKT1",-0.390630286997447,0.0026033901200624
"Mast cells resting","PTGS2",-0.386360794850202,0.00273861449113709
"T cells regulatory (Tregs)","CASP1",-0.385367959272711,0.00281457317370882
