"","AKT1","BCL2","CASP1","MAPK14","MMP9","PPARG","PTGS2","PTPRC","SIRT1"
"B cells naive",-0.0345620265562722,0.107224422424121,0.0739892744010873,-0.180265926444323,-0.105834359198823,0.0151045450866167,-0.214132921387946,-0.0944611146282028,-0.044418838517476
"B cells memory",-0.107515304599468,-0.21598424995504,-9.22878151068394e-05,0.210446981048629,0.0494355062922303,-0.212244011567935,-0.122588981066918,0.186944350801421,-0.187190451641706
"Plasma cells",-0.106812856610928,-0.0751646028002829,-0.0989007931582669,0.0593404758949602,0.0830766662529442,-0.115232924330861,-0.178021427684881,-0.106812856610928,-0.225493808400849
"T cells CD8",0.691841185310027,0.731282394865685,-0.506037572521762,-0.791285372436141,-0.792282306642919,-0.425979974826803,0.328957134042805,-0.186270925697692,0.432762908323573
"T cells CD4 naive",-0.108448192274973,-0.0732525236331092,0.0141828699684432,0.187761508497633,0.0594696044446871,-0.020843179536758,-0.295686688214117,-0.00153827223085068,-0.0311346299524177
"T cells CD4 memory resting",0.181186321686878,0.596274675421099,-0.218680849334303,-0.465825629444355,-0.290191688872925,-0.0244392957940743,0.055459990681894,-0.187855561072675,0.302062296774919
"T cells CD4 memory activated",0.482292279959868,0.396189585053035,-0.438377438431455,-0.530401235566837,-0.498451954791952,-0.162931814595021,0.324581254976508,0.0158512840910143,0.427892153235064
"T cells follicular helper",NA,NA,NA,NA,NA,NA,NA,NA,NA
"T cells regulatory (Tregs)",0.441668722921846,0.204867095704693,-0.385367959272711,-0.238432195781855,-0.427270494841084,-0.237386664494255,0.0421794245699255,-0.106756092821037,-0.0316576425109069
"T cells gamma delta",-0.662726615684447,-0.720906454324228,0.620253121316242,0.781519670245521,0.744576578789842,0.281114550026103,-0.311287945269752,0.183498768637635,-0.383846831482102
"NK cells resting",0.702482389492141,0.518410286382233,-0.622443015780246,-0.754960164877419,-0.710234089021502,-0.428632991623626,0.460887754160386,-0.0207634808822172,0.526100464486758
"NK cells activated",-0.26763748936846,-0.16707702369577,0.0141995101991529,0.17074329067342,0.0644797430354976,0.267770450363063,-0.299179024319037,-0.21095583799971,-0.103412006655306
"Monocytes",-0.772001599557046,-0.632778615152727,0.654249592420561,0.764926635700883,0.737303515949429,0.419302121338155,-0.451844104709465,0.168230336214587,-0.564920483558399
"Macrophages M0",-0.242862186146178,-0.370160780355709,0.133735905167623,0.435919913827122,0.645271122354145,0.0840710699745174,-0.264484158837949,-0.0368682354872511,-0.193119328742744
"Macrophages M1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macrophages M2",-0.0414928310327705,0.14205329670546,0.325890398013345,-0.168764670399768,-0.0360807226371918,-0.17006726158728,-0.196232575375178,0.143100801556217,-0.127562812936652
"Dendritic cells resting",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dendritic cells activated",-0.267066381766894,-0.399859434871772,0.14731825700929,0.335868356099682,0.279710402150777,0.0864529837518447,-0.204617256700155,0.269070921583851,-0.225896217834007
"Mast cells resting",-0.205769404739156,0.0479214354304909,0.0049000052948219,-0.0667818331690507,-0.0274585202370208,-0.0270538873434946,-0.386360794850202,-0.274369478866663,-0.0971680295256192
"Mast cells activated",0.00395603172633068,-0.0197801586316534,-0.130549046968912,-0.0514284124422988,-0.0197801586316534,0.0675503349525736,0.130549046968912,0.185933491137542,-0.011868095178992
"Eosinophils",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neutrophils",-0.390630286997447,-0.543018856316712,0.432649420160571,0.628718201113538,0.547202313205574,0.371257408444424,-0.0382355655356978,0.0649973853394445,-0.291826878710511
