"","AKT1","BCL2","CASP1","MAPK14","MMP9","PPARG","PTGS2","PTPRC","SIRT1"
"B cells naive",0.796743739216794,0.423054032830796,0.580964355063165,0.175703974473107,0.429125535851524,0.910399189844386,0.10651203217554,0.480615115353323,0.740581598792085
"B cells memory",0.421789741774395,0.103447849277114,0.999451420348401,0.112820616859241,0.712486019047752,0.109710078258353,0.359273385250334,0.159975090570646,0.159415956060017
"Plasma cells",0.424846546285733,0.574954622527177,0.460135743539686,0.658144746635644,0.53526219335969,0.389040767614089,0.18123407496805,0.424846546285733,0.0887698936261258
"T cells CD8",1.81067908518936e-09,7.08142854593726e-11,5.06942267466184e-05,1.44312321686194e-13,1.28034809919616e-13,0.000856332212217042,0.0116912905292483,0.161512467150317,0.00069167996170006
"T cells CD4 naive",0.417749607917754,0.584746059929263,0.915846193221299,0.158124073172952,0.657447054161582,0.876586207208449,0.0242269158764516,0.990856355878536,0.816531178674231
"T cells CD4 memory resting",0.173472027302945,7.85607506489606e-07,0.0991071544155163,0.000228713531744415,0.027125124484563,0.855504575770057,0.679244184082961,0.157912043149278,0.0211958483125325
"T cells CD4 memory activated",0.000126220374785082,0.00207936450993459,0.000577665016122062,1.84832302912959e-05,6.83446675631558e-05,0.22169799321151,0.0129248856225009,0.905989031451032,0.000806664397847232
"T cells follicular helper",NA,NA,NA,NA,NA,NA,NA,NA,NA
"T cells regulatory (Tregs)",0.000519026874357943,0.122910764462111,0.00281457317370882,0.0714809531065394,0.000822518720734808,0.0727698322325144,0.753235390806569,0.425094110820167,0.813503965165955
"T cells gamma delta",1.4519587852622e-08,1.75207657837009e-10,2.07122887938379e-07,4.50815217167989e-13,2.08347886066288e-11,0.032548272929073,0.0173824266898074,0.167955461633272,0.00293458200286319
"NK cells resting",0,3.99136526148493e-05,3.71773785270689e-07,0,0,0.000788131122079068,0.000316100949567825,0.876842713756421,2.94759782999601e-05
"NK cells activated",0.0422435321845609,0.210003890345836,0.915747816355832,0.200028900386589,0.630605913698006,0.042137401250165,0.0225242558269913,0.11193303670723,0.439822738625495
"Monocytes",0,2.18320560099734e-07,6.81014062088861e-08,0,0,0.00105216813017321,0.000424838080300696,0.206261494852226,5.75543497569217e-06
"Macrophages M0",0.0662204877778303,0.00423580061849218,0.316906273809323,0.000625291785325911,4.54959000754043e-08,0.530370388220854,0.0448257395555492,0.783499642944645,0.146376819729391
"Macrophages M1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macrophages M2",0.757128111033406,0.287464233872974,0.0125445981016783,0.205369573162452,0.788015518871256,0.201842418136415,0.139856325287136,0.283887985257566,0.339958521682719
"Dendritic cells resting",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dendritic cells activated",0.0427019015547546,0.00187215574452446,0.269786889026983,0.00994988222454796,0.0334628503975583,0.518743500968081,0.123378081312346,0.0411108767697799,0.0881868317416344
"Mast cells resting",0.121234216514974,0.720927543575435,0.970879550581879,0.61842734648977,0.8378814118278,0.840238858840735,0.00273861449113709,0.0371392204124158,0.468071586197359
"Mast cells activated",0.976487762429292,0.882835018152618,0.328679468155796,0.701426983194123,0.882835018152618,0.614384185476517,0.328679468155796,0.162286872970632,0.929542683244958
"Eosinophils",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neutrophils",0.0026033901200624,1.47781437045746e-05,0.000776323064921139,2.69547706128847e-07,1.23957262294915e-05,0.0041153866430438,0.775162967921563,0.626997635320244,0.0265907174721112
