"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","11/18","216/9369",0.0509259259259259,26.5069444444444,16.6392691101995,2.0969601459416e-14,3.81646746561371e-12,1.52305526389442e-12,"AKT1/BCL2/CASP1/CASP8/JAK2/MAPK14/MMP9/NFKB1/PPARG/TLR4/TNF",11
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","9/18","163/9369",0.0552147239263804,28.739263803681,15.6741469025422,4.97743875437212e-12,3.10895465462734e-10,1.24070486506239e-10,"AKT1/BCL2/CASP8/JAK2/MAPK14/MMP9/NFKB1/TLR4/TNF",9
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","10/18","248/9369",0.0403225806451613,20.9879032258064,13.9959542990995,5.12465052960551e-12,3.10895465462734e-10,1.24070486506239e-10,"AKT1/BCL2/CASP1/CASP8/GAPDH/MAPK14/NFKB1/PTPRC/TLR4/TNF",10
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","8/18","112/9369",0.0714285714285714,37.1785714285714,16.8988036005555,1.28344285564705e-11,5.8396649931941e-10,2.33046202735913e-10,"AKT1/BCL2/CASP8/JAK2/MAPK14/NFKB1/TLR4/TNF",8
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","7/18","101/9369",0.0693069306930693,36.0742574257426,15.5484400884382,3.95985141907402e-10,1.30382516270674e-08,5.20323517795056e-09,"AKT1/BCL2/CDK4/JAK2/MAPK14/NFKB1/TNF",7
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","8/18","173/9369",0.046242774566474,24.0693641618497,13.4366145831099,4.29832471222002e-10,1.30382516270674e-08,5.20323517795056e-09,"AKT1/CASP1/CASP8/CDK4/JAK2/NFKB1/TLR4/TNF",8
"Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","7/18","105/9369",0.0666666666666667,34.7,15.2354730154288,5.21850257830168e-10,1.35681067035844e-08,5.41468688575663e-09,"AKT1/CASP1/CASP8/MAPK14/NFKB1/PTGS2/TNF",7
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","8/18","181/9369",0.0441988950276243,23.0055248618785,13.1156914370198,6.16890890634909e-10,1.40342677619442e-08,5.60071992813273e-09,"AKT1/BCL2/CASP8/JAK2/MAPK14/NFKB1/TLR4/TNF",8
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","7/18","119/9369",0.0588235294117647,30.6176470588235,14.2653960319765,1.26583609765598e-09,2.55980188637098e-08,1.02155193845921e-08,"AKT1/CASP8/MAPK14/MMP9/NFKB1/PTGS2/TNF",7
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","6/18","78/9369",0.0769230769230769,40.0384615384615,15.1893584371645,4.69641597543779e-09,8.00299446605631e-08,3.19379189217979e-08,"JAK2/MAPK14/NFKB1/PTGS2/TLR4/TNF",6
