"T_subtype","n_matched","matched_genes"
"CD4 Tn",6,"CD4;CCR7;SELL;LEF1;TCF7;IL7R"
"CD4 Tcm",5,"CD4;CCR7;IL7R;TCF7;CD44"
"CD4 Tc",6,"CD4;NKG7;GZMB;PRF1;CCL5;CTSW"
"CD8 Temra",6,"CD8A;CD8B1;KLRG1;CX3CR1;GZMB;PRF1"
"CD8 Tem",6,"CD8A;CD8B1;GZMK;CCL5;NKG7;CXCR3"
"Tgd",3,"TRDC;CD3D;CD3E"
"CD8 Tn",6,"CD8A;CD8B1;CCR7;SELL;LEF1;TCF7"
"CD8 Tc",6,"CD8A;CD8B1;NKG7;GZMB;PRF1;CTSW"
"CD4 Treg",7,"CD4;FOXP3;IL2RA;CTLA4;IKZF2;TIGIT;TNFRSF18"
"CD4 Tem",6,"CD4;IL7R;GZMK;CXCR3;CCL5;CD44"
"CD8 Tcm",6,"CD8A;CD8B1;CCR7;IL7R;TCF7;CD44"
"MAIT",5,"ZBTB16;RORC;SLAMF6;IL18R1;KLRB1C"
"CD4 Temra",6,"CD4;KLRG1;CX3CR1;GZMB;PRF1;CCL5"
"CD4 Th17",8,"CD4;RORC;CCR6;IL17A;IL17F;IL23R;MAF;BATF"
"CD4 Th1",6,"CD4;TBX21;IFNG;CXCR3;STAT4;IL12RB2"
