"CellType_paper","Infection_Status","n_cells","CoreTargets_AUC_median","CoreTargets_AUC_mean"
"T_cells","Control",2603,0.0904444444444444,0.0890024330900243
"T_cells","KP",8047,0.0925555555555556,0.0896869088549218
"B_cells","Control",4475,0.0522222222222222,0.054674835505897
"B_cells","KP",4942,0.0535555555555556,0.0568904402176357
"NK_cells","Control",868,0.104777777777778,0.115427419354839
"NK_cells","KP",996,0.105277777777778,0.117492190986167
"Monocyte_Macrophage","Control",2578,0.0827222222222222,0.0833982846306353
"Monocyte_Macrophage","KP",4785,0.0728888888888889,0.0718654359688842
"Epithelial","Control",635,0.0134444444444444,0.0537690288713911
"Epithelial","KP",1226,0.0292777777777778,0.0562360884538699
"Endothelial","Control",2558,0,0.025501042481105
"Endothelial","KP",5817,0,0.0261902851794549
"Fibroblast","Control",1356,0,0.0258393969190429
"Fibroblast","KP",2320,0.000166666666666667,0.0362274904214559
