"T_major_paper","Infection_Status","n_cells","CoreTargets_AUC_median","CoreTargets_AUC_mean","Th17_score_median","Treg_score_median"
"CD4 Tn","Control",632,0.0924444444444444,0.0949528832630099,0.141274211619708,0
"CD4 Tn","KP",724,0.0921666666666667,0.0939401473296501,0.212382985105414,0
"CD4 Tcm","Control",256,0.0938888888888889,0.0904865451388889,0.187965530436928,0
"CD4 Tcm","KP",447,0.0846666666666667,0.0798076062639821,0.260638750505209,0
"CD4 Tc","Control",62,0.0952222222222222,0.0925232974910394,0.259575230896579,0.207969015191604
"CD4 Tc","KP",259,0.0943333333333333,0.092975117975118,0.28278802948553,0.18268552227382
"CD8 Temra","Control",9,0.0965555555555556,0.0935925925925926,0.0778080623654581,0
"CD8 Temra","KP",710,0.0987222222222222,0.101045226917058,0.298179776133665,0.102013010995573
"CD8 Tem","Control",43,0.091,0.0851343669250646,0.280781441737759,0.285928316570401
"CD8 Tem","KP",375,0.0946666666666667,0.0938542222222222,0.314327527632556,0.15790220729171
"Tgd","Control",198,0.0808888888888889,0.0798866442199776,0.181302859056953,0.126148860414292
"Tgd","KP",394,0.0846111111111111,0.0842994923857868,0.270616999105155,0
"CD8 Tn","Control",470,0.0926111111111111,0.0921167848699764,0.118950413663111,0
"CD8 Tn","KP",552,0.0943888888888889,0.0969869162640902,0.183239064687199,0
"CD8 Tc","Control",17,0.0765555555555556,0.0810065359477124,0.190912706896884,0.175118294976528
"CD8 Tc","KP",271,0.0926666666666667,0.0948191881918819,0.327290704906168,0.173296170725965
"CD4 Treg","Control",192,0.0916111111111111,0.0868009259259259,0.383986388390674,0.846216768774978
"CD4 Treg","KP",729,0.0864444444444444,0.0834682213077275,0.496952099671839,0.751490583917636
"CD4 Tem","Control",89,0.0906666666666667,0.0907265917602996,0.196175551516254,0.213982719416187
"CD4 Tem","KP",574,0.0918333333333333,0.0879829655439412,0.263081138557772,0.222114441093552
"CD8 Tcm","Control",229,0.0918888888888889,0.0934774381368268,0.125788925447908,0
"CD8 Tcm","KP",432,0.0956111111111111,0.0960100308641975,0.232645545749208,0.109245535260586
"MAIT","Control",216,0.084,0.0761121399176955,0.293952956891364,0.190328241887551
"MAIT","KP",742,0.0892777777777778,0.087750973345313,0.397362661703333,0.238627319921998
"CD4 Temra","Control",39,0.0908888888888889,0.0984131054131054,0.239238805643474,0
"CD4 Temra","KP",387,0.0973333333333333,0.0978047660063164,0.282302034664206,0
"CD4 Th17","Control",98,0.0768888888888889,0.073250566893424,0.654230965396394,0.220991076897796
"CD4 Th17","KP",736,0.0717777777777778,0.0687814009661836,0.830258960069264,0.390539125730624
"CD4 Th1","Control",53,0.083,0.0785995807127883,0.404673744334707,0.189526093877465
"CD4 Th1","KP",715,0.0956666666666667,0.0953111111111111,0.41848421102162,0.288852042076246
