"label","group1","group2","n_group1","n_group2","median_group1","median_group2","p_value","p_adj_BH_within_label","p_adj_BH_global","p_star"
"CD4 Th17","Control","KP",98,736,0.0768888888888889,0.0717777777777778,0.498311743480394,0.622889679350492,0.622889679350492,""
"CD4 Tem","Control","KP",89,574,0.0906666666666667,0.0918333333333333,0.922732047956822,0.937366519612531,0.937366519612531,""
"CD8 Tem","Control","KP",43,375,0.091,0.0946666666666667,0.0976811879745803,0.293043563923741,0.293043563923741,""
"CD8 Temra","Control","KP",9,710,0.0965555555555556,0.0987222222222222,0.491946646830615,0.622889679350492,0.622889679350492,""
"CD4 Th1","Control","KP",53,715,0.083,0.0956666666666667,0.00680751722049845,0.0510563791537384,0.0510563791537384,""
"CD8 Tc","Control","KP",17,271,0.0765555555555556,0.0926666666666667,0.072359269790818,0.271347261715567,0.271347261715567,""
"CD4 Tcm","Control","KP",256,447,0.0938888888888889,0.0846666666666667,0.00561522857752483,0.0510563791537384,0.0510563791537384,""
"MAIT","Control","KP",216,742,0.084,0.0892777777777778,0.0110546772880503,0.0552733864402516,0.0552733864402516,""
"CD4 Treg","Control","KP",192,729,0.0916111111111111,0.0864444444444444,0.202095134773098,0.43306100308521,0.43306100308521,""
"Tgd","Control","KP",198,394,0.0808888888888889,0.0846111111111111,0.362818764320621,0.604697940534368,0.604697940534368,""
"CD8 Tcm","Control","KP",229,432,0.0918888888888889,0.0956111111111111,0.359323171524011,0.604697940534368,0.604697940534368,""
"CD4 Tc","Control","KP",62,259,0.0952222222222222,0.0943333333333333,0.765766614895466,0.883576863340922,0.883576863340922,""
"CD4 Temra","Control","KP",39,387,0.0908888888888889,0.0973333333333333,0.412481142710851,0.618721714066276,0.618721714066276,""
"CD8 Tn","Control","KP",470,552,0.0926111111111111,0.0943888888888889,0.151824056140167,0.379560140350417,0.379560140350417,""
"CD4 Tn","Control","KP",632,724,0.0924444444444444,0.0921666666666667,0.937366519612531,0.937366519612531,0.937366519612531,""
