"CellType_paper","Disease_State","n_cells"
"T_cells","Moderate",9456
"T_cells","Severe",3803
"T_cells","Convalescent",10516
"Myeloid","Moderate",5467
"Myeloid","Severe",3465
"Myeloid","Convalescent",4482
"B_cells","Moderate",988
"B_cells","Severe",621
"B_cells","Convalescent",1749
"NK_cells","Moderate",2498
"NK_cells","Severe",306
"NK_cells","Convalescent",3440
"Dendritic","Moderate",66
"Dendritic","Severe",28
"Dendritic","Convalescent",181
"Neutrophils","Moderate",1122
"Neutrophils","Severe",14
"Basophils","Moderate",14
"Basophils","Severe",2
"Basophils","Convalescent",4
"Progenitors","Moderate",1094
"Progenitors","Severe",142
"Progenitors","Convalescent",489
