"CellType_paper","Disease_State","n_cells","CoreTargets_AUC_median","CoreTargets_AUC_mean"
"T_cells","Moderate",9456,0.101646090534979,0.110168451846281
"T_cells","Severe",3803,0.103497942386831,0.120135230038231
"T_cells","Convalescent",10516,0.102366255144033,0.110983214682076
"Myeloid","Moderate",5467,0.110905349794239,0.113765270259793
"Myeloid","Severe",3465,0.110699588477366,0.116184805135422
"Myeloid","Convalescent",4482,0.0909465020576132,0.0920306741368767
"B_cells","Moderate",988,0.0926954732510288,0.0871808408723613
"B_cells","Severe",621,0.0949588477366255,0.090203309410681
"B_cells","Convalescent",1749,0.0949588477366255,0.0901195745011259
"NK_cells","Moderate",2498,0.102572016460905,0.104379099987809
"NK_cells","Severe",306,0.107098765432099,0.124006495602356
"NK_cells","Convalescent",3440,0.10298353909465,0.109309652837592
"Dendritic","Moderate",66,0.0833847736625514,0.0829233694974436
"Dendritic","Severe",28,0.102829218106996,0.113271604938272
"Dendritic","Convalescent",181,0.0975308641975309,0.101432939999545
"Neutrophils","Moderate",1122,0.144958847736626,0.149626713760701
"Neutrophils","Severe",14,0.0710905349794239,0.0902924750146972
"Basophils","Moderate",14,0.012962962962963,0.0421810699588477
"Basophils","Severe",2,0,0
"Basophils","Convalescent",4,0.0426954732510288,0.0455761316872428
"Progenitors","Moderate",1094,0,0.0287628553802635
"Progenitors","Severe",142,0.0101337448559671,0.0435692343360575
"Progenitors","Convalescent",489,0,0.0241462378079056
