"T_major_paper","Disease_State","n_cells","CoreTargets_AUC_median","CoreTargets_AUC_mean","Th17_AUC_median","Treg_AUC_median"
"CD4 Tn","Moderate",1684,0.10082304526749,0.111738597597333,0.0636857936140676,0
"CD4 Tn","Severe",1804,0.102469135802469,0.119187870119442,0.036094400740398,0
"CD4 Tn","Convalescent",1145,0.101748971193416,0.109781839092853,0.0252198056455345,0
"CD4 Tcm","Moderate",1788,0.0990740740740741,0.107942697544674,0.0898889403054142,0
"CD4 Tcm","Severe",537,0.100102880658436,0.113519706339901,0.0924340583063397,0
"CD4 Tcm","Convalescent",1638,0.0981995884773663,0.103159152233226,0.0489356779268857,0
"CD4 Tc","Moderate",1136,0.102314814814815,0.11312308004405,0.0856085145765849,0
"CD4 Tc","Severe",218,0.1059670781893,0.12396977762676,0.081964368347987,0
"CD4 Tc","Convalescent",1530,0.102109053497942,0.110511780844025,0.0674456270245257,0
"CD8 Temra","Moderate",679,0.10380658436214,0.113412668109117,0.0643220731142989,0
"CD8 Temra","Severe",140,0.107510288065844,0.129652410346855,0.0658838500694123,0
"CD8 Temra","Convalescent",1317,0.104218106995885,0.116671431830041,0.0610828320222119,0
"CD8 Tem","Moderate",586,0.103909465020576,0.115708612480512,0.0520592318371124,0
"CD8 Tem","Severe",65,0.10298353909465,0.119719848053181,0.018972697825081,0
"CD8 Tem","Convalescent",1240,0.103909465020576,0.11601685915306,0.0429199444701527,0
"Tgd","Moderate",389,0.102880658436214,0.112838924328499,0.113720499768626,0
"Tgd","Severe",119,0.106172839506173,0.129551820728291,0.0880379453956502,0
"Tgd","Convalescent",1195,0.104012345679012,0.11894200802383,0.100647848218417,0
"CD8 Tn","Moderate",771,0.0983539094650206,0.104349810251237,0.0274178621008792,0
"CD8 Tn","Severe",356,0.103240740740741,0.118737573403616,0.0173530772790375,0
"CD8 Tn","Convalescent",574,0.098559670781893,0.10215368291249,0.0117422489588154,0
"CD8 Tc","Moderate",177,0.105246913580247,0.120971960661226,0.122165664044424,0
"CD8 Tc","Severe",19,0.110905349794239,0.132196231319038,0.0731142989356779,0
"CD8 Tc","Convalescent",232,0.104732510288066,0.119152653611466,0.11551365108746,0
"CD4 Treg","Moderate",216,0.103189300411523,0.112898186252096,0.0564553447478019,0.11861973135711
"CD4 Treg","Severe",74,0.106275720164609,0.120330052274497,0.0681397501156872,0.114358499305234
"CD4 Treg","Convalescent",126,0.105401234567901,0.120803122346332,0.0548357242017584,0.122000926354794
"CD4 Tem","Moderate",228,0.101491769547325,0.0986056963396145,0.0756015733456733,0
"CD4 Tem","Severe",7,0.107510288065844,0.102425044091711,0.0987968533086534,0.0205650764242705
"CD4 Tem","Convalescent",142,0.102263374485597,0.101533066713035,0.0712633040259139,0
"CD8 Tcm","Moderate",100,0.0977880658436214,0.104858024691358,0.0352267468764461,0
"CD8 Tcm","Severe",29,0.102572016460905,0.112395345537108,0.0329708468301712,0
"CD8 Tcm","Convalescent",198,0.103395061728395,0.117287068212994,0.0201874132346136,0
"MAIT","Moderate",67,0.0996913580246914,0.118189914624409,0.170754280425729,0
"MAIT","Severe",22,0.154218106995885,0.148774784885896,0.188165201295696,0
"MAIT","Convalescent",205,0.103086419753086,0.120740740740741,0.186140675613142,0
"CD4 Temra","Moderate",79,0.101543209876543,0.11169193103089,0.0725358630263767,0
"CD4 Temra","Severe",19,0.0973251028806584,0.0995776478232619,0.0517121702915317,0
"CD4 Temra","Convalescent",152,0.100874485596708,0.107971897335932,0.0673299398426654,0
"CD4 Th17","Moderate",45,0.0960905349794239,0.0966163694558756,0.0821378991207774,0
"CD4 Th17","Severe",8,0.0944444444444444,0.080542695473251,0.0824849606663582,0.0169522927281149
"CD4 Th17","Convalescent",80,0.0972736625514403,0.101795267489712,0.0505552984729292,0
"CD4 Th1","Moderate",106,0.103292181069959,0.109369904495691,0.0977556686719112,0
"CD4 Th1","Severe",2,0.135699588477366,0.135699588477366,0.0959625173530773,0
"CD4 Th1","Convalescent",15,0.105246913580247,0.108045267489712,0.0738084220268394,0
