"label","group1","group2","n_group1","n_group2","median_group1","median_group2","p_value","p_adj_BH_within_label","p_adj_BH_global","p_star"
"Myeloid","Moderate","Severe",5467,3465,0.110905349794239,0.110699588477366,0.23014315326681,0.23014315326681,0.297832315992342,""
"Myeloid","Moderate","Convalescent",5467,4482,0.110905349794239,0.0909465020576132,7.14125524234077e-65,1.07118828635112e-64,7.85538076657485e-64,"***"
"Myeloid","Severe","Convalescent",3465,4482,0.110699588477366,0.0909465020576132,1.14557285366804e-68,3.43671856100412e-68,2.52026027806969e-67,"***"
"Progenitors","Moderate","Severe",1094,142,0,0.0101337448559671,0.00330571434878826,0.00495857152318239,0.00808063507481575,"**"
"Progenitors","Moderate","Convalescent",1094,489,0,0,0.00563244548529419,0.00563244548529419,0.0123913800676472,"**"
"Progenitors","Severe","Convalescent",142,489,0.0101337448559671,0,2.45737186449209e-05,7.37211559347627e-05,7.72316871697514e-05,"***"
"T_cells","Moderate","Severe",9456,3803,0.101646090534979,0.103497942386831,2.32685959189244e-19,6.98057877567733e-19,1.70636370072112e-18,"***"
"T_cells","Moderate","Convalescent",9456,10516,0.101646090534979,0.102366255144033,0.0146817176092927,0.0146817176092927,0.0269164822837032,"*"
"T_cells","Severe","Convalescent",3803,10516,0.103497942386831,0.102366255144033,5.36835084627612e-14,8.05252626941419e-14,2.95259296545187e-13,"***"
"NK_cells","Moderate","Severe",2498,306,0.102572016460905,0.107098765432099,6.57332345752767e-10,1.9719970372583e-09,2.89226232131217e-09,"***"
"NK_cells","Moderate","Convalescent",2498,3440,0.102572016460905,0.10298353909465,0.000676972431689386,0.000676972431689386,0.00186167418714581,"***"
"NK_cells","Severe","Convalescent",306,3440,0.107098765432099,0.10298353909465,4.40779688163804e-07,6.61169532245707e-07,1.61619218993395e-06,"***"
"Neutrophils","Moderate","Severe",1122,14,0.144958847736626,0.0710905349794239,0.00944471275323808,0.00944471275323808,0.0188894255064762,"**"
"B_cells","Moderate","Severe",988,621,0.0926954732510288,0.0949588477366255,0.170578829003498,0.255868243505246,0.234545889879809,""
"B_cells","Moderate","Convalescent",988,1749,0.0926954732510288,0.0949588477366255,0.0511425566072514,0.153427669821754,0.0750090830239687,""
"B_cells","Severe","Convalescent",621,1749,0.0949588477366255,0.0949588477366255,0.942472056372571,0.942472056372571,0.987351678104598,""
"Dendritic","Moderate","Severe",66,28,0.0833847736625514,0.102829218106996,0.0303228822827863,0.0474630460600807,0.0497231911105608,"*"
"Dendritic","Moderate","Convalescent",66,181,0.0833847736625514,0.0975308641975309,0.0316420307067205,0.0474630460600807,0.0497231911105608,"*"
"Dendritic","Severe","Convalescent",28,181,0.102829218106996,0.0975308641975309,0.369247678204474,0.369247678204474,0.427549943184128,""
"Basophils","Moderate","Severe",14,2,0.012962962962963,0,0.255428317682437,0.616970687664388,0.312190166056312,""
"Basophils","Moderate","Convalescent",14,4,0.012962962962963,0.0426954732510288,1,1,1,""
"Basophils","Severe","Convalescent",2,4,0,0.0426954732510288,0.411313791776259,0.616970687664388,0.452445170953885,""
