"label","group1","group2","n_group1","n_group2","median_group1","median_group2","p_value","p_adj_BH_within_label","p_adj_BH_global","p_star"
"CD4 Tcm","Moderate","Severe",1788,537,0.0990740740740741,0.100102880658436,0.0157658694045336,0.0157658694045336,0.0417331837178831,"*"
"CD4 Tcm","Moderate","Convalescent",1788,1638,0.0990740740740741,0.0981995884773663,0.00912040268817118,0.0136806040322568,0.0293155800691216,"*"
"CD4 Tcm","Severe","Convalescent",537,1638,0.100102880658436,0.0981995884773663,1.34767591562906e-05,4.04302774688719e-05,0.00015161354050827,"***"
"CD8 Tem","Moderate","Severe",586,65,0.103909465020576,0.10298353909465,0.909787731582943,0.968757695833434,0.975403897903563,""
"CD8 Tem","Moderate","Convalescent",586,1240,0.103909465020576,0.103909465020576,0.855827518533165,0.968757695833434,0.975403897903563,""
"CD8 Tem","Severe","Convalescent",65,1240,0.10298353909465,0.103909465020576,0.968757695833434,0.968757695833434,0.988407913927036,""
"CD4 Tc","Moderate","Severe",1136,218,0.102314814814815,0.1059670781893,0.00453334531909223,0.00680001797863835,0.0170000449465959,"**"
"CD4 Tc","Moderate","Convalescent",1136,1530,0.102314814814815,0.102109053497942,0.291463632676941,0.291463632676941,0.49438312828238,""
"CD4 Tc","Severe","Convalescent",218,1530,0.1059670781893,0.102109053497942,0.000562624879848184,0.00168787463954455,0.00316476494914604,"**"
"CD4 Tn","Moderate","Severe",1684,1804,0.10082304526749,0.102469135802469,7.75580398579753e-06,2.32674119573926e-05,0.000116337059786963,"***"
"CD4 Tn","Moderate","Convalescent",1684,1145,0.10082304526749,0.101748971193416,0.891893506793223,0.891893506793223,0.975403897903563,""
"CD4 Tn","Severe","Convalescent",1804,1145,0.102469135802469,0.101748971193416,2.73635784268882e-05,4.10453676403322e-05,0.000246272205841993,"***"
"CD4 Tem","Moderate","Severe",228,7,0.101491769547325,0.107510288065844,0.552992204423077,0.71578817420124,0.754080278758741,""
"CD4 Tem","Moderate","Convalescent",228,142,0.101491769547325,0.102263374485597,0.71578817420124,0.71578817420124,0.870553184839346,""
