"ligand_id","ligand_name","source","pubchem_cid","input_sdf","minimized_sdf","pdbqt","forcefield","minimization_steps","charge","note"
"L01_Pelargonidin","Pelargonidin","ingredients","440832.0","04_ligand_preparation/01_pubchem_sdf/L01_Pelargonidin.sdf","04_ligand_preparation/02_minimized_sdf/L01_Pelargonidin.sdf","04_ligand_preparation/03_pdbqt/L01_Pelargonidin.pdbqt","MMFF94","2500","Gasteiger via OpenBabel",""
"L02_Apigenin","Apigenin","ingredients","5280443.0","04_ligand_preparation/01_pubchem_sdf/L02_Apigenin.sdf","04_ligand_preparation/02_minimized_sdf/L02_Apigenin.sdf","04_ligand_preparation/03_pdbqt/L02_Apigenin.pdbqt","MMFF94","2500","Gasteiger via OpenBabel",""
"L03_5_7_dihydroxy_2_phenyl_4H_chromen_4_one","5,7-dihydroxy-2-phenyl-4H-chromen-4-one","ingredients","5281607.0","04_ligand_preparation/01_pubchem_sdf/L03_5_7_dihydroxy_2_phenyl_4H_chromen_4_one.sdf","04_ligand_preparation/02_minimized_sdf/L03_5_7_dihydroxy_2_phenyl_4H_chromen_4_one.sdf","04_ligand_preparation/03_pdbqt/L03_5_7_dihydroxy_2_phenyl_4H_chromen_4_one.pdbqt","MMFF94","2500","Gasteiger via OpenBabel",""
"L04_2_3_4_dihydroxyphenyl_5_7_dihydroxy_3_4_dihydro_2H_1_benzopyran_4_one","2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3,4-dihydro-2H-1-benzopyran-4-one","ingredients","11095.0","04_ligand_preparation/01_pubchem_sdf/L04_2_3_4_dihydroxyphenyl_5_7_dihydroxy_3_4_dihydro_2H_1_benzopyran_4_one.sdf","04_ligand_preparation/02_minimized_sdf/L04_2_3_4_dihydroxyphenyl_5_7_dihydroxy_3_4_dihydro_2H_1_benzopyran_4_one.sdf","04_ligand_preparation/03_pdbqt/L04_2_3_4_dihydroxyphenyl_5_7_dihydroxy_3_4_dihydro_2H_1_benzopyran_4_one.pdbqt","MMFF94","2500","Gasteiger via OpenBabel",""
"L05_Scoparone","Scoparone","ingredients","8417.0","04_ligand_preparation/01_pubchem_sdf/L05_Scoparone.sdf","04_ligand_preparation/02_minimized_sdf/L05_Scoparone.sdf","04_ligand_preparation/03_pdbqt/L05_Scoparone.pdbqt","MMFF94","2500","Gasteiger via OpenBabel",""
"L06_5_2_Dihydroxy_6_7_8_6_tetramethoxyflavone","5,2'-Dihydroxy-6,7,8,6'-tetramethoxyflavone","ingredients","124211.0","04_ligand_preparation/01_pubchem_sdf/L06_5_2_Dihydroxy_6_7_8_6_tetramethoxyflavone.sdf","04_ligand_preparation/02_minimized_sdf/L06_5_2_Dihydroxy_6_7_8_6_tetramethoxyflavone.sdf","04_ligand_preparation/03_pdbqt/L06_5_2_Dihydroxy_6_7_8_6_tetramethoxyflavone.pdbqt","MMFF94","2500","Gasteiger via OpenBabel",""
"L07_Thyroxine","Thyroxine","metabolite","5819.0","04_ligand_preparation/01_pubchem_sdf/L07_Thyroxine.sdf","04_ligand_preparation/02_minimized_sdf/L07_Thyroxine.sdf","04_ligand_preparation/03_pdbqt/L07_Thyroxine.pdbqt","MMFF94","2500","Gasteiger via OpenBabel",""
"L08_N_Oleoyl_Alanine","N-Oleoyl Alanine","metabolite","44423663.0","04_ligand_preparation/01_pubchem_sdf/L08_N_Oleoyl_Alanine.sdf","04_ligand_preparation/02_minimized_sdf/L08_N_Oleoyl_Alanine.sdf","04_ligand_preparation/03_pdbqt/L08_N_Oleoyl_Alanine.pdbqt","MMFF94","2500","Gasteiger via OpenBabel",""
"L10_8_Amino_7_oxononanoate","8-Amino-7-oxononanoate","metabolite","5460197.0","04_ligand_preparation/01_pubchem_sdf/L10_8_Amino_7_oxononanoate.sdf","04_ligand_preparation/02_minimized_sdf/L10_8_Amino_7_oxononanoate.sdf","04_ligand_preparation/03_pdbqt/L10_8_Amino_7_oxononanoate.pdbqt","MMFF94","2500","Gasteiger via OpenBabel",""
"L11_PE_P_18_0_18_1_12Z_2OH_9_10","PE(P-18:0/18:1(12Z)-2OH(9,10))","metabolite","156988680.0","04_ligand_preparation/01_pubchem_sdf/L11_PE_P_18_0_18_1_12Z_2OH_9_10.sdf","04_ligand_preparation/02_minimized_sdf/L11_PE_P_18_0_18_1_12Z_2OH_9_10.sdf","04_ligand_preparation/03_pdbqt/L11_PE_P_18_0_18_1_12Z_2OH_9_10.pdbqt","MMFF94","200","Gasteiger via OpenBabel","Reduced minimization steps for large flexible ligand."
"L12_12_13_DiHODE","12,13-DiHODE","metabolite","16061067.0","04_ligand_preparation/01_pubchem_sdf/L12_12_13_DiHODE.sdf","04_ligand_preparation/02_minimized_sdf/L12_12_13_DiHODE.sdf","04_ligand_preparation/03_pdbqt/L12_12_13_DiHODE.pdbqt","MMFF94","2500","Gasteiger via OpenBabel",""
