pair_id,target,pdb_id,ligand_id,ligand_name,source,mean_affinity_kcal_mol,sd_affinity_kcal_mol,n_runs
BCL2_8HTS__L03_5_7_dihydroxy_2_phenyl_4H_chromen_4_one,BCL2,8HTS,L03_5_7_dihydroxy_2_phenyl_4H_chromen_4_one,"5,7-dihydroxy-2-phenyl-4H-chromen-4-one",ingredients,-7.149666666666666,0.0061101009266079,3
BCL2_8HTS__L02_Apigenin,BCL2,8HTS,L02_Apigenin,Apigenin,ingredients,-6.906333333333333,0.0028867513459485,3
BCL2_8HTS__L01_Pelargonidin,BCL2,8HTS,L01_Pelargonidin,Pelargonidin,ingredients,-6.829000000000001,0.0034641016151378,3
BCL2_8HTS__L04_2_3_4_dihydroxyphenyl_5_7_dihydroxy_3_4_dihydro_2H_1_benzopyran_4_one,BCL2,8HTS,L04_2_3_4_dihydroxyphenyl_5_7_dihydroxy_3_4_dihydro_2H_1_benzopyran_4_one,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3,4-dihydro-2H-1-benzopyran-4-one",ingredients,-6.771999999999999,0.0225166604983958,3
BCL2_8HTS__L06_5_2_Dihydroxy_6_7_8_6_tetramethoxyflavone,BCL2,8HTS,L06_5_2_Dihydroxy_6_7_8_6_tetramethoxyflavone,"5,2'-Dihydroxy-6,7,8,6'-tetramethoxyflavone",ingredients,-6.640333333333333,0.0213853532431271,3
BCL2_8HTS__L07_Thyroxine,BCL2,8HTS,L07_Thyroxine,Thyroxine,metabolite,-6.615666666666667,0.378345521095907,3
BCL2_8HTS__L05_Scoparone,BCL2,8HTS,L05_Scoparone,Scoparone,ingredients,-6.181,0.002,3
BCL2_8HTS__L11_PE_P_18_0_18_1_12Z_2OH_9_10,BCL2,8HTS,L11_PE_P_18_0_18_1_12Z_2OH_9_10,"PE(P-18:0/18:1(12Z)-2OH(9,10))",metabolite,-5.900333333333333,0.3497947016941986,3
BCL2_8HTS__L08_N_Oleoyl_Alanine,BCL2,8HTS,L08_N_Oleoyl_Alanine,N-Oleoyl Alanine,metabolite,-5.775666666666666,0.191745491037816,3
BCL2_8HTS__L12_12_13_DiHODE,BCL2,8HTS,L12_12_13_DiHODE,"12,13-DiHODE",metabolite,-5.686666666666667,0.1595441422720791,3
BCL2_8HTS__L10_8_Amino_7_oxononanoate,BCL2,8HTS,L10_8_Amino_7_oxononanoate,8-Amino-7-oxononanoate,metabolite,-4.999,0.1385893213779474,3
CASP1_6PZP__L04_2_3_4_dihydroxyphenyl_5_7_dihydroxy_3_4_dihydro_2H_1_benzopyran_4_one,CASP1,6PZP,L04_2_3_4_dihydroxyphenyl_5_7_dihydroxy_3_4_dihydro_2H_1_benzopyran_4_one,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3,4-dihydro-2H-1-benzopyran-4-one",ingredients,-6.884333333333333,0.0816169916949487,3
CASP1_6PZP__L03_5_7_dihydroxy_2_phenyl_4H_chromen_4_one,CASP1,6PZP,L03_5_7_dihydroxy_2_phenyl_4H_chromen_4_one,"5,7-dihydroxy-2-phenyl-4H-chromen-4-one",ingredients,-6.848,0.0199749843554379,3
